cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Camponotus subbarbatus,Elevation,440,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus subbarbatus,Elevation,440,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus subbarbatus,Elevation,0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica latifrons,Elevation,511,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica latifrons,Elevation,511,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica latifrons,Elevation,0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stenamma meridionale,Elevation,1342,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stenamma meridionale,Elevation,786,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stenamma meridionale,Elevation,556,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Temnothorax curvispinosus,Latitude,42.56,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Temnothorax curvispinosus,Latitude,30.56,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Temnothorax curvispinosus,Latitude,12,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica pinetorum,Latitude,39.13,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica pinetorum,Latitude,33.17,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica pinetorum,Latitude,5.96,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica pinetorum,Elevation,656,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica pinetorum,Elevation,440,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica pinetorum,Elevation,216,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica punctiventris,Latitude,45.57,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica punctiventris,Latitude,30.71,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica punctiventris,Latitude,14.86,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crematogaster minutissima,Latitude,35.96,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crematogaster minutissima,Latitude,27.18,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crematogaster minutissima,Latitude,8.78,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica punctiventris,Elevation,941,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica punctiventris,Elevation,440,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica punctiventris,Elevation,501,,,,moderate,the trait was not extracted for this species
