basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,E. angustula,Body Length,,2.87 ± 0.05 cd,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. angustula,Body Width,,1.10 ± 0.02 bc,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. angustula,Wing Length,,3.36 ± 0.04 b,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. angustula,Wing Width,,1.29 ± 0.02 b,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. angustula,Body mass (mg) Body mass,,0.333 ± 0.014 a,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. boreella,Body Length,,3.31 ± 0.08 b,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. boreella,Body Width,,1.22 ± 0.03 ab,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. boreella,Wing Length,,3.54 ± 0.05 b,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. boreella,Wing Width,,1.34 ± 0.02 ab,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. boreella,Body mass (mg) Body mass,,0.336 ± 0.013 a,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. deubeli,Body Length,,3.06 ± 0.06 bc,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. deubeli,Body Width,,1.00 ± 0.03 c,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. deubeli,Wing Length,,3.06 ± 0.06 c,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. deubeli,Wing Width,,1.17 ± 0.03 c,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. deubeli,Body mass (mg) Body mass,,0.204 ± 0.016 b,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. longipennis,Body Length,,3.65 ± 0.08 a,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. longipennis,Body Width,,1.35 ± 0.06 a,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. longipennis,Wing Length,,3.75 ± 0.05 a,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. longipennis,Wing Width,,1.39 ± 0.03 a,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. longipennis,Body mass (mg) Body mass,,0.322 ± 0.018 a,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. pygmaea,Body Length,,2.66 ± 0.04 d,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. pygmaea,Body Width,,1.23 ± 0.02 ab,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. pygmaea,Wing Length,,2.99 ± 0.03 c,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. pygmaea,Wing Width,,1.18 ± 0.02 c,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,E. pygmaea,Body mass (mg) Body mass,,0.340 ± 0.015 a,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,T. elegans,Body Length,,7.84 ± 0.13 ab,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,T. elegans,Body Width,,2.03 ± 0.02 a,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,T. elegans,Wing Length,,5.85 ± 0.05 b,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,T. elegans,Wing Width,,2.44 ± 0.02 b,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,T. elegans,Body mass (mg) Body mass,,1.27 ± 0.09 b,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,T. laticollis,Body Length,,4.75 ± 0.11 c,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,T. laticollis,Body Width,,1.36 ± 0.02 b,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,T. laticollis,Wing Length,,4.14 ± 0.04 c,,mode,,male,adult,,,,,,,,,,,
PreservedSpecimen,T. laticollis,Wing Width,,1.76 ± 0.02 c,,mode,,male,adult,,,,,,,,,,,
