cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Epuraea deubeli,Body length,,3.06 ± 0.06 bc,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tachinus proximus,Body mass,,1.58 ± 0.08 a,,,moderate,predicted a different value for this trait
"species present, trait missing",Epuraea boreella,Body wingth,,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Epuraea deubeli,Wing length,,3.06 ± 0.06 c,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Epuraea longipennis,Body mass,,0.322 ± 0.018 a,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Epuraea pygmaea,Body mass,,0.340 ± 0.015 a,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Epuraea boreella,Wing windth,,1.34 ± 0.02 ab,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Epuraea angustula,Wing windth,,1.29 ± 0.02 b,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tachinus elegans,Body length,,7.84 ± 0.13 ab,,,moderate,predicted a different value for this trait
"species present, trait missing",Tachinus elegans,Body wingth,,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Epuraea angustula,Body mass,,0.333 ± 0.014 a,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tachinus elegans,Wing length,,5.85 ± 0.05 b,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tachinus laticollis,Wing windth,,1.76 ± 0.02 c,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tachinus pallipes,Body length,,7.68 ± 0.09 b,,,moderate,predicted a different value for this trait
"species present, trait missing",Tachinus pallipes,Body wingth,,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Epuraea deubeli,Body mass,,0.204 ± 0.016 b,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tachinus pallipes,Wing length,,5.83 ± 0.05 b,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tachinus proximus,Body length,,8.17 ± 0.12 a,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tachinus laticollis,Body mass,,0.41 ± 0.03 c,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tachinus proximus,Wing length,,6.53 ± 0.08 a,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Epuraea longipennis,Body length,,3.65 ± 0.08 a,,,moderate,predicted a different value for this trait
"species present, trait missing",Epuraea longipennis,Body wingth,,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Epuraea pygmaea,Body length,,2.66 ± 0.04 d,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Epuraea longipennis,Wing length,,3.75 ± 0.05 a,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Epuraea pygmaea,Wing length,,2.99 ± 0.03 c,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Epuraea longipennis,Wing windth,,1.39 ± 0.03 a,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Epuraea boreella,Body length,,3.31 ± 0.08 b,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Epuraea angustula,Body length,,2.87 ± 0.05 cd,,,moderate,predicted a different value for this trait
"species present, trait missing",Epuraea angustula,Body wingth,,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Epuraea boreella,Wing length,,3.54 ± 0.05 b,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Epuraea angustula,Wing length,,3.36 ± 0.04 b,,,moderate,predicted a different value for this trait
"species present, trait missing",Epuraea deubeli,Body wingth,,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Tachinus laticollis,Body length,,4.75 ± 0.11 c,,,moderate,predicted a different value for this trait
"species present, trait missing",Tachinus laticollis,Body wingth,,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Tachinus laticollis,Wing length,,4.14 ± 0.04 c,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Epuraea deubeli,Wing windth,,1.17 ± 0.03 c,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Epuraea boreella,Body mass,,0.336 ± 0.013 a,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tachinus elegans,Wing windth,,2.44 ± 0.02 b,,,moderate,predicted a different value for this trait
"species present, trait missing",Tachinus proximus,Body wingth,,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Tachinus pallipes,Wing windth,,2.45 ± 0.03 b,,,moderate,predicted a different value for this trait
"species present, trait missing",Epuraea pygmaea,Body wingth,,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Tachinus elegans,Body mass,,1.27 ± 0.09 b,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tachinus proximus,Wing windth,,2.58 ± 0.03 a,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tachinus pallipes,Body mass,,0.98 ± 0.10 b,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Epuraea pygmaea,Wing windth,,1.18 ± 0.02 c,,,moderate,predicted a different value for this trait
