basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Camponotus cinctellus,Morphological trait Weber s length,Standard linear measurement using an ocular micrometer mounted on a dissecting microscope,2.2,mm,mean ± SE,,both,adult,,,,,,18,,,,,
PreservedSpecimen,Camponotus cinctellus,Morphological trait head length,,1.5,mm,mean,,both,adult,,,,,,18,,,,,
PreservedSpecimen,Camponotus cinctellus,Morphological trait femur length,Standard linear measurement using an ocular micrometer mounted on a dissecting microscope,2.2,mm,mean ± SE,,both,adult,,,,,,18,,,,,
PreservedSpecimen,Camponotus cinctellus,Morphological trait pronotum width,Standard linear measurement of pronotum width using an ocular micrometer mounted on a dissecting microscope,0.9,mm,mean ± SE,,both,adult,,,,,,18,,,,,
PreservedSpecimen,Camponotus cinctellus,Morphological trait head with between the eyes,Standard linear measurement using an ocular micrometer mounted on a dissecting microscope,0.86,mm,mean ± SE,,both,adult,,,,,,18,,,,,
PreservedSpecimen,Camponotus cinctellus,Morphological trait head width behind the eyes,Standard linear measurement using an ocular micrometer mounted on a dissecting microscope,1.20,mm,mean ± SE,,both,adult,,,,,,18,,,,,
PreservedSpecimen,Camponotus cinctellus,Morphological trait eye position,,0.3,mm,mean ± SE,,both,adult,,,,,,18,,,,,
PreservedSpecimen,Camponotus sp. A,Morphological trait Weber s length,Standard linear measurement using an ocular micrometer mounted on a dissecting microscope,2.3,mm,mean ± SE,,both,adult,,,,,,5,,,,,
PreservedSpecimen,Camponotus sp. A,Morphological trait head length,,1.5,mm,mean,,both,adult,,,,,,5,,,,,
PreservedSpecimen,Camponotus sp. A,Morphological trait femur length,Standard linear measurement using an ocular micrometer mounted on a dissecting microscope,1.8,mm,mean ± SE,,both,adult,,,,,,5,,,,,
PreservedSpecimen,Camponotus sp. A,Morphological trait pronotum width,Standard linear measurement of pronotum width using an ocular micrometer mounted on a dissecting microscope,1.4,mm,mean ± SE,,both,adult,,,,,,5,,,,,
PreservedSpecimen,Camponotus sp. A,Morphological trait head with between the eyes,Standard linear measurement using an ocular micrometer mounted on a dissecting microscope,0.98,mm,mean ± SE,,both,adult,,,,,,5,,,,,
PreservedSpecimen,Camponotus sp. A,Morphological trait head width behind the eyes,Standard linear measurement using an ocular micrometer mounted on a dissecting microscope,1.57,mm,mean ± SE,,both,adult,,,,,,5,,,,,
PreservedSpecimen,Camponotus sp. A,Morphological trait eye position,,0.5,mm,mean ± SE,,both,adult,,,,,,5,,,,,
PreservedSpecimen,Cardiocondyla sp. A,Morphological trait Weber s length,Standard linear measurement using an ocular micrometer mounted on a dissecting microscope,0.4,mm,mean ± SE,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Cardiocondyla sp. A,Morphological trait head length,,0.3,mm,mean,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Cardiocondyla sp. A,Morphological trait femur length,Standard linear measurement using an ocular micrometer mounted on a dissecting microscope,0.3,mm,mean ± SE,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Cardiocondyla sp. A,Morphological trait pronotum width,Standard linear measurement of pronotum width using an ocular micrometer mounted on a dissecting microscope,0.2,mm,mean ± SE,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Cardiocondyla sp. A,Morphological trait head with between the eyes,Standard linear measurement using an ocular micrometer mounted on a dissecting microscope,0.25,mm,mean ± SE,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Cardiocondyla sp. A,Morphological trait head width behind the eyes,Standard linear measurement using an ocular micrometer mounted on a dissecting microscope,0.33,mm,mean ± SE,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Cardiocondyla sp. A,Morphological trait eye position,,0.0,mm,mean ± SE,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Lepisiota sp. A,Morphological trait Weber s length,Standard linear measurement using an ocular micrometer mounted on a dissecting microscope,0.7,mm,mean ± SE,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Lepisiota sp. A,Morphological trait head length,,0.3,mm,mean,,both,adult,,,,,,1,,,,,
