cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Prolasius sp. B,Head width between the eyes,0.49,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Monomorium sp. D,Femur length,0.34,0.3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tetramorium sp. D,Femur length,0.51,0.5,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Notoncus sp. A,Head length,2.01,1.2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Plagiolepis sp. B,Femur length,0.32,0.3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Myrmecia sp. A,Head length,3.69,3.6,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dolichoderus sp. A,Femur length,1.17,1.1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Meranoplus sp. A,Femur length,0.69,0.6,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Iridomyrmex sp. C,Pronotum width,0.46,0.4,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Monomorium sp. A,Head length,0.68,0.6,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Melophorus sp. B,Head length,0.97,0.9,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Prolasius sp. B,Pronotum width,0.56,0.5,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Myrmicaria natalensis,Head length,6.01,1.6,,,moderate,predicted a different value for this trait
"species present, trait missing",Technomyrmex sp. A,Head width between the eyes,0.34,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Cardiocondyla sp. A,Pronotum width,0.22,0.2,,,moderate,predicted a different value for this trait
"species present, trait missing",Meranoplus sp. A,Head width between the eyes,0.75,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Meranoplus sp. A,Head width between the eyes,0.74,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rhytidoponera metallica gp sp. A,Head width between the eyes,6.01,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Plagiolepis sp. B,Head length,0.36,0.3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Prolasius sp. A,Head length,0.81,0.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pachycondyla sp. B,Femur length,1.25,1.2,,,moderate,predicted a different value for this trait
"species present, trait missing",Rhytidoponera metallica gp sp. B,Head width between the eyes,0.79,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Technomyrmex sp. A,Weber’s length,0.52,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pheidole sp. A,Head width between the eyes,0.65,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pheidole sp. A,Head width between the eyes,0.38,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Monomorium sp. D,Pronotum width,0.22,0.2,,,moderate,predicted a different value for this trait
"species present, trait missing",Iridomyrmex sp. AA,Head width between the eyes,0.66,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Technomyrmex sp. A,Eye position ,0.17,0.1,,,moderate,predicted a different value for this trait
"species present, trait missing",Lepisiota sp. A,Head width between the eyes,0.33,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Pheidole sp. F,Head length,0.61,0.6,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Rhytidoponera metallica gp sp. A,Eye position ,0.28,0.2,,,moderate,predicted a different value for this trait
"species present, trait missing",Monomorium sp. B,Head width between the eyes,0.21,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Monomorium sp. B,Head width between the eyes,0.27,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmica sulcinodis,Weber’s length,1.65,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Meranoplus sp. A,Pronotum width,0.83,0.8,,,moderate,predicted a different value for this trait
"species present, trait missing",Rhytidoponera metallica gp sp. B,Weber’s length,1.38,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pheidole sp. A,Weber’s length,1.21,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pheidole sp. A,Weber’s length,0.49,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Myrmica sulcinodis,Eye position ,0.13,0.1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Monomorium sp. E,Femur length,0.62,0.6,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Rhytidoponera metallica gp sp. B,Eye position ,0.16,0.1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tetramorium sp. B,Head length,0.58,0.5,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole sp. A,Eye position ,0.08,0.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole sp. A,Eye position ,0.03,0.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Formica aquilonia,Femur length,7.02,2.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Odontomachus sp. A,Femur length,2.55,2.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Lepisiota sp. A,Weber’s length,0.7,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Prolasius sp. A,Weber’s length,1.19,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Lepisiota sp. B,Femur length,0.74,0.7,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Iridomyrmex sp. AA,Pronotum width,0.63,0.6,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lepisiota sp. A,Eye position ,0.09,0.0,,,moderate,predicted a different value for this trait
species not in prediction,Ochetellus sp. A,Head width between the eyes,0.32,,Ochetellussp. A,0.96,severe,species not extracted at all
"species+trait present, value differs",Myrmica ruginodis,Femur length,1.44,1.4,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole sp. C,Femur length,0.77,0.7,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole sp. C,Femur length,0.72,0.7,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Monomorium sp. B,Pronotum width,0.18,0.1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Monomorium sp. B,Pronotum width,0.21,0.1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pachycondyla sp. B,Pronotum width,0.63,0.6,,,moderate,predicted a different value for this trait
"species present, trait missing",Leptothorax acervorum,Weber’s length,1.17,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Plagiolepis sp. A,Femur length,0.28,0.2,,,moderate,predicted a different value for this trait
"species present, trait missing",Formica lemani,Weber’s length,1.02,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tapinoma sp. A,Weber’s length,0.61,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Leptothorax acervorum,Eye position ,0.07,0.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Monomorium sp. E,Head length,0.68,0.6,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Formica aquilonia,Head length,1.69,1.6,,,moderate,predicted a different value for this trait
"species present, trait missing",Pheidole sp. C,Head width between the eyes,0.49,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pheidole sp. C,Head width between the eyes,0.54,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Pachycondyla sp. A,Head width behind the eyes,3.01,1.30,,,moderate,predicted a different value for this trait
"species present, trait missing",Camponotus sp. A,Head width between the eyes,0.98,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus herculeanus,Weber’s length,6.03,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Lepisiota sp. B,Head length,0.51,0.5,,,moderate,predicted a different value for this trait
species not in prediction,Ochetellus sp. A,Pronotum width,0.35,,Ochetellussp. A,0.96,severe,species not extracted at all
"species present, trait missing",Iridomyrmex sp. A,Head width between the eyes,0.47,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Meranoplus sp. B,Femur length,0.84,0.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Myrmica lobicornis,Head length,9.01,1.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole megacephala,Head length,0.64,0.6,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Camponotus herculeanus,Eye position ,0.69,0.6,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Crematogaster sp. A,Head length,0.86,0.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole sp. B,Head length,0.48,0.4,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole sp. B,Head length,0.62,0.4,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tetramorium sp. C,Head length,0.79,0.7,,,moderate,predicted a different value for this trait
"species present, trait missing",Camponotus sp. A,Weber’s length,2.33,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Plagiolepis sp. A,Head length,0.29,0.2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Camponotus sp. A,Eye position ,0.58,0.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Formica lugubris,Head width between the eyes,1.38,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Pachycondyla sp. A,Head length,1.21,1.2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Myrmica ruginodis,Pronotum width,0.76,0.7,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Iridomyrmex sp. A,Eye position ,0.31,0.3,,,moderate,predicted a different value for this trait
"species present, trait missing",Iridomyrmex sp. B,Weber’s length,8.01,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Pheidole sp. C,Pronotum width,0.35,0.3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole sp. C,Pronotum width,0.37,0.3,,,moderate,predicted a different value for this trait
