basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
,1.78–1.98 1.94–2.23,identifier,,Head length,,mode,,both,adult,,,,,,,,,,,
,1.65–1.75 2.0–2.28,identifier,,Head width,,mode,,both,adult,,,,,,,,,,,
,0.85–0.89 0.90–1.11,identifier,,Mandible length,,mode,,both,adult,,,,,,,,,,,
,0.22–0.23 0.23–0.26,identifier,,Eye length,,mode,,both,adult,,,,,,,,,,,
,1.03–1.08 1.06–1.17,identifier,,Scape length,,mode,,both,adult,,,,,,,,,,,
,0.74–0.78 0.81–1.03,identifier,,Pronotal width,,mode,,both,adult,,,,,,,,,,,
,0.29–0.31 0.24–0.38,identifier,,Propodeal spine length,,mode,,both,adult,,,,,,,,,,,
,0.45–0.47 0.53–0.64,identifier,,Petiole length,,mode,,both,adult,,,,,,,,,,,
,0.29–0.31 0.33–0.39,identifier,,Petiolar node height,,mode,,both,adult,,,,,,,,,,,
,0.21–0.22 0.20–0.27,identifier,,Petiolar node width,,mode,,both,adult,,,,,,,,,,,
,0.36–0.38 0.33–0.41,identifier,,Postpetiole length,,mode,,both,adult,,,,,,,,,,,
,0.4–0.41 0.37–0.5,identifier,,Postpetiole height,,mode,,both,adult,,,,,,,,,,,
,0.43–0.48 0.42–0.61,identifier,,Postpetiole width,,mode,,both,adult,,,,,,,,,,,
,1.47–1.56 1.40–1.74,identifier,,Weber's length,,mode,,both,adult,,,,,,,,,,,
,1.44–1.51 1.67–1.84,identifier,,Metafemur length,,mode,,both,adult,,,,,,,,,,,
,88–93 98–104,identifier,,Cephalic index,,mode,,both,adult,,,,,,,,,,,
,12–14 11–13,identifier,,Eye index,,mode,,both,adult,,,,,,,,,,,
,62–62 51–56,identifier,,Scape index,,mode,,both,adult,,,,,,,,,,,
,51–51 43–50,identifier,,Mandible index,,mode,,both,adult,,,,,,,,,,,
,17–18 11–18,identifier,,Propodeal spine index,,mode,,both,adult,,,,,,,,,,,
,45–45 39–47,identifier,,Pronotal width index,,mode,,both,adult,,,,,,,,,,,
,86–87 76–90,identifier,,Metafemur index,,mode,,both,adult,,,,,,,,,,,
,28–28 22–28,identifier,,Petiole index,,mode,,both,adult,,,,,,,,,,,
,58–62 47–61,identifier,,Postpetiole length,,mode,,both,adult,,,,,,,,,,,
,210–224 204–235,identifier,,Postpetiole width index,,mode,,both,adult,,,,,,,,,,,
,124–126 139–166,identifier,,Postpetiole length index,,mode,,both,adult,,,,,,,,,,,
