cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
species not in prediction,Pheidole darwini,Petiolar Node Height,0.34,,,0.08,severe,species not extracted at all
species not in prediction,Pheidole darwini,Petiolar Node Height,0.18,,,0.08,severe,species not extracted at all
species not in prediction,Pheidole darwini,Petiolar Node Height,0.32–0.38,,,0.08,severe,species not extracted at all
species not in prediction,Pheidole darwini,Petiolar Node Height,0.17-0.19,,,0.08,severe,species not extracted at all
species not in prediction,Pheidole batrachorum,Petiole Length,0.511-0.57,,,0.07,severe,species not extracted at all
species not in prediction,Pheidole batrachorum,Petiole Length,0.33,,,0.07,severe,species not extracted at all
species not in prediction,Pheidole batrachorum,Petiole Length,0.54,,,0.07,severe,species not extracted at all
species not in prediction,Pheidole batrachorum,Petiole Length,0.26-0.37,,,0.07,severe,species not extracted at all
species not in prediction,Pheidole setosa,Cephalic Index,87,,,0.08,severe,species not extracted at all
species not in prediction,Pheidole setosa,Cephalic Index,85-88,,,0.08,severe,species not extracted at all
species not in prediction,Pheidole heloisa,Petiolar node Width,0.31,,,0.08,severe,species not extracted at all
species not in prediction,Pheidole heloisa,Petiolar node Width,0.13,,,0.08,severe,species not extracted at all
species not in prediction,Pheidole heloisa,Petiolar node Width,0.1-0.13,,,0.08,severe,species not extracted at all
species not in prediction,Pheidole pulchella,Mandible Length,1.02,,,0.07,severe,species not extracted at all
species not in prediction,Pheidole pulchella,Mandible Length,0.61,,,0.07,severe,species not extracted at all
species not in prediction,Pheidole pulchella,Mandible Length,0.9-1.11,,,0.07,severe,species not extracted at all
species not in prediction,Pheidole pulchella,Mandible Length,0.58-0.64,,,0.07,severe,species not extracted at all
species not in prediction,Pheidole semidea,Head Length,1.7-1.86,,,0.08,severe,species not extracted at all
species not in prediction,Pheidole semidea,Head Length,0.79,,,0.08,severe,species not extracted at all
species not in prediction,Pheidole semidea,Head Length,1.79,,,0.08,severe,species not extracted at all
species not in prediction,Pheidole semidea,Head Length,0.76-0.81,,,0.08,severe,species not extracted at all
species not in prediction,Pheidole pulchella,Postpetiole Index,55,,,0.07,severe,species not extracted at all
species not in prediction,Pheidole pulchella,Postpetiole Index,46,,,0.07,severe,species not extracted at all
species not in prediction,Pheidole pulchella,Postpetiole Index,47-61,,,0.07,severe,species not extracted at all
species not in prediction,Pheidole pulchella,Postpetiole Index,43-50,,,0.07,severe,species not extracted at all
species not in prediction,Pheidole dae,Metafemur Length,1.27,,,0.10,severe,species not extracted at all
species not in prediction,Pheidole dae,Metafemur Length,1.46-1.6,,,0.10,severe,species not extracted at all
species not in prediction,Pheidole dae,Metafemur Length,1.49,,,0.10,severe,species not extracted at all
species not in prediction,Pheidole dae,Metafemur Length,1.09-1.44,,,0.10,severe,species not extracted at all
