basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Amegilla sp.,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,3.50,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Apis mellifera L.,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,2.83,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ceratina sp. 1,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.27,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Eucera sp. 1,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,2.60,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Eucera sp. 2,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,3.05,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Eucera sp. 3,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,3.50,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Xylocopa iris,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,4.28,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Xylocopa violacea,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,6.03,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus sp.,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.22,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus scabiosae,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,3.10,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus sp. 1,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.91,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus sp. 2,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.60,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus sp. 3,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.11,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum malachurum,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.40,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp. 1,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.53,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp. 1,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,2.00,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp. 2,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.23,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp. 2,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.25,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp. 2,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,2.10,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp. 3,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.23,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp. 3,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.06,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp.1,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.49,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp. 4,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,0.83,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasioglossum sp. 5,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.02,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anthidium florentinum,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,3.75,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hoplitis sp.,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,2.35,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hoplosmia sp.,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.46,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lithurgus chrysurus Fonscolombe,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,2.90,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Osmia erythrogastra Ferton,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.57,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Osmia bidentata Morawitz,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,1.63,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pseudoanthidium lituratum,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,2.03,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Total specimens,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Total species,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Simpson's Index,Intertegular distance,Measurement of minimum intertegular distance using an ocular micrometer on a Leica S6E stereomicroscope.,,mm,mean,,both,adult,,,,,,,,,,,
