basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Tachyta nana,Body size,Direct measurement of body size from collected specimens,2.00,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Tachyta nana,Canopy cover,,1.00,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Rhysodes sulcatus,Body size,Direct measurement of body size from collected specimens,7.00,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Rhysodes sulcatus,Canopy cover,,1.80,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Plegaderus vulneratus,Body size,Direct measurement of body size from collected specimens,1.00,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Plegaderus vulneratus,Canopy cover,,1.50,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Plegaderus caesus,Body size,Direct measurement of body size from collected specimens,1.00,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Plegaderus caesus,Canopy cover,,1.83,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Plegaderus dissectus,Body size,Direct measurement of body size from collected specimens,1.00,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Plegaderus dissectus,Canopy cover,,2.40,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abraeus granulum,Body size,Direct measurement of body size from collected specimens,1.00,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Abraeus granulum,Canopy cover,,2.40,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abraeus parvulus,Body size,Direct measurement of body size from collected specimens,1.00,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Abraeus parvulus,Canopy cover,,1.40,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abraeus perpusillus,Body size,Direct measurement of body size from collected specimens,1.00,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Abraeus perpusillus,Canopy cover,,2.00,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Acritus minutus,Body size,Direct measurement of body size from collected specimens,1.00,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Acritus minutus,Canopy cover,,1.00,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aeletes atomarius,Body size,Direct measurement of body size from collected specimens,1.00,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Aeletes atomarius,Canopy cover,,1.50,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Dendrophilus punctatus,Body size,Direct measurement of body size from collected specimens,4.00,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Dendrophilus punctatus,Canopy cover,,2.00,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Paromalus flavicornis,Body size,Direct measurement of body size from collected specimens,1.00,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Paromalus flavicornis,Canopy cover,,2.40,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Paromalus parallelepipedus,Body size,Direct measurement of body size from collected specimens,2.00,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Paromalus parallelepipedus,Canopy cover,,1.40,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hololepta plana,Body size,Direct measurement of body size from collected specimens,8.00,mm,mean,,both,adult,,,,,,,,,,,
