cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Ptilinus fuscus,Diameter,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hololepta plana,Diameter,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cerophytum elateroides,Diameter,3.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orchesia undulata,Dead-wood decay,3.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ampedus quercicola,Dead-wood decay,3.40,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mycetophagus piceus,Diameter,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anobium inexspectatum,Dead-wood decay,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Malthodes fuscus,Diameter,2.29,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crypturgus pusillus,Dead-wood decay,2.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dasytes niger,Diameter,2.29,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Episernus granulatus,Dead-wood decay,2.33,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ampedus praeustus,Diameter,3.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pelecotoma fennica,Diameter,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rhizophagus picipes,Dead-wood decay,2.25,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mycetophagus decempunctatus,Dead-wood decay,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acalles pyrenaeus,Dead-wood decay,3.25,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anobium fulvicorne,Dead-wood decay,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nudobius lentus,Dead-wood decay,2.25,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lathropus sepicola,Diameter,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trachodes hispidus,Dead-wood decay,3.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Conopalpus testaceus,Diameter,1.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ampedus sanguinolentus,Dead-wood decay,3.40,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Osphya bipunctata,Diameter,1.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euryusa optabilis,Dead-wood decay,4.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rhizophagus ferrugineus,Diameter,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Epuraea thoracica,Dead-wood decay,2.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Epuraea laeviuscula,Dead-wood decay,2.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phthorophloeus spinulosus,Diameter,1.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cryptophagus lysholmi,Diameter,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mycetophagus atomarius,Diameter,2.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aplocnemus impressus,Diameter,3.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anaspis regimbarti,Diameter,2.29,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Glischrochilus quadriguttatus,Dead-wood decay,1.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthocis vestitus,Diameter,1.86,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Clerus mutillarius,Diameter,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anthaxia salicis,Dead-wood decay,2.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mordellochroa abdominalis,Dead-wood decay,3.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Atomaria lohsei,Diameter,1.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthotomicus suturalis,Diameter,2.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Latridius hirtus,Diameter,2.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Placusa tachyporoides,Dead-wood decay,1.60,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Malthinus facialis,Dead-wood decay,3.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Atomaria atrata,Diameter,1.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scolytus carpini,Diameter,1.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dorcatoma setosella,Dead-wood decay,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rhagium mordax,Dead-wood decay,2.25,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polygraphus grandiclava,Diameter,1.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xyloterus laevae,Diameter,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trichius fasciatus,Diameter,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Diplocoelus fagi,Dead-wood decay,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anastrangalia sanguinolenta,Dead-wood decay,3.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Malachius bipustulatus,Dead-wood decay,3.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Triplax elongata,Dead-wood decay,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Bolitochara lucida,Diameter,2.33,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pityogenes bidentatus,Dead-wood decay,2.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Epuraea biguttata,Dead-wood decay,1.83,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cerambyx scopolii,Diameter,2.29,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cis rugulosus,Dead-wood decay,3.25,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cis boleti,Diameter,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stenomax aeneus,Diameter,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xyleborus dispar,Diameter,2.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Saperda populnea,Diameter,1.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ampedus melanurus,Diameter,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Leperisinus fraxini,Dead-wood decay,2.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dasytes fusculus,Dead-wood decay,3.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Plegaderus vulneratus,Diameter,2.29,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rhizophagus dispar,Dead-wood decay,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Plegaderus dissectus,Diameter,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Leiopus nebulosus,Dead-wood decay,2.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Symbiotes latus,Dead-wood decay,3.60,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Choragus horni,Dead-wood decay,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lacon lepidopterus,Dead-wood decay,3.40,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acalles lemur,Dead-wood decay,3.25,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Evodinus clathratus,Diameter,1.80,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthoperus brunnipes,Dead-wood decay,3.29,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Corymbia maculicornis,Diameter,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Enicmus atriceps,Dead-wood decay,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Epuraea neglecta,Dead-wood decay,1.60,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Clytus lama,Diameter,1.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Corticaria longicollis,Dead-wood decay,4.29,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Colydium elongatum,Diameter,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anthaxia quadripunctata,Diameter,1.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Protaetia lugubris,Dead-wood decay,4.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ischnomera sanguinicollis,Diameter,3.80,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tropideres albirostris,Dead-wood decay,2.25,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agathidium nigripenne,Diameter,2.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Henoticus serratus,Diameter,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acritus minutus,Diameter,2.80,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Grynobius planus,Diameter,2.29,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Globicornis nigripes,Dead-wood decay,3.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Malthodes crassicornis,Dead-wood decay,3.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Triplax aenea,Dead-wood decay,3.40,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lyctus brunneus,Dead-wood decay,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Allecula morio,Diameter,3.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ips cembrae,Diameter,2.17,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xyleborus monographus,Diameter,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ips sexdentatus,Dead-wood decay,1.75,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Scolytus multistriatus,Diameter,1.67,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ernobius abietis,Diameter,1.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Malthodes pumilus,Dead-wood decay,3.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crypturgus hispidulus,Diameter,2.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Enicmus testaceus,Dead-wood decay,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oxylaemus variolosus,Diameter,3.80,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Uloma rufa,Diameter,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dasytes cyaneus,Diameter,1.86,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Triplax rufipes,Dead-wood decay,3.40,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nacerdes carniolica,Diameter,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cis fissicornis,Diameter,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anaglyptus mysticus,Dead-wood decay,2.75,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rhizophagus brancsiki,Dead-wood decay,4.17,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Baeocrara variolosa,Dead-wood decay,4.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mycetina cruciata,Dead-wood decay,3.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Symbiotes armatus,Dead-wood decay,4.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Quedius microps,Dead-wood decay,4.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Bolitochara obliqua,Diameter,2.33,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mycetochara linearis,Diameter,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xylotrechus antilope,Diameter,1.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Paromalus flavicornis,Diameter,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Uleiota planata,Diameter,2.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cychramus variegatus,Dead-wood decay,3.40,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Grammoptera ustulata,Dead-wood decay,3.00,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cis hispidus,Diameter,2.50,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dromaeolus barnabita,Dead-wood decay,3.60,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ampedus sanguineus,Dead-wood decay,3.40,,,,moderate,the trait was not extracted for this species
