cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing","Tetrapedia diversipes Klug, 1810",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Augochlorella urania (Smith, 1853)",Social Behaviour,primitively eussocial,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Brachynomada sp. 03,Social Behaviour,cleptoparasitic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Augochloropsis (Paraugochloropsis) sp. 15,Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Ceratina (Neoclavicera) subcarinata Roig-Alsina, 2013",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nomada sp. 5,Social Behaviour,cleptoparasitic,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Augochloropsis (Augochloropsis) brachycephala Moure, 1943",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Habralictus canaliculatus Moure, 1941",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Megachile (Tylomegachile) orba Schrottky, 1913",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Augochlora (Augochlora) cydippe (Schrottky, 1910)",Social Behaviour,primitively eussocial,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Augochlorella iopoecila Moure, 1950",Social Behaviour,primitively eussocial,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Psaenythia sp. 2,Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
species not in prediction,Dialictus sp. 01,Nesting site,ground,,Dialictussp. 01,0.97,severe,species not extracted at all
"species present, trait missing","Microsphecodes russeiclypeatus (Sakagami & Moure, 1962)",Social Behaviour,cleptoparasitic,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Parepeolus minutus Roig-Alsina, 1989",Social Behaviour,cleptoparasitic,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Anthodioctes megachiloides Holmberg, 1903",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Augochloropsis (Paraugochloropsis) sp. 14,Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Augochloropsis (Paraugochloropsis) sp. 05,Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Ceratina (Ceratinula) oxalidis Schrottky, 1907",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
species not in prediction,Dialictus sp. 12,Social Behaviour,primitively eussocial,,Dialictussp. 12,0.97,severe,species not extracted at all
"species present, trait missing","Plebeia droryana (Friese, 1900)",Social Behaviour,highly eussocial,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Plebeia emerina (Friese, 1900)",Social Behaviour,highly eussocial,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Augochloropsis (Paraugochloropsis) sp. 13,Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Moureanthidium subarenarium (Schwarz, 1933)",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Paratrigona subnuda Moure, 1947",Social Behaviour,highly eussocial,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Leiopodus lacertinus Smith, 1854",Social Behaviour,cleptoparasitic,,,,moderate,the trait was not extracted for this species
species not in prediction,Dialictus sp. 12,Nesting site,ground,,Dialictussp. 12,0.97,severe,species not extracted at all
species not in prediction,Coelioxys (Cyrtocoelioxys) sp. 01,Social Behaviour,cleptoparasitic,,Coelioxys (Cyrtocoelioxys) sp. 02,0.97,severe,species not extracted at all
"species present, trait missing","Pseudaugochlora indistincta Almeida, 2008",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Temnosoma sp. 01,Social Behaviour,cleptoparasitic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Psaenythia bergii Holmberg 1884,Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Psaenythia quadrifasciata Friese, 1908",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Megommation insigne (Smith, 1853)",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
species not in prediction,Trophocleptria sp. 01,Feeding habit,not specified,,Trophoclepria sp. 01,0.97,severe,species not extracted at all
"species present, trait missing","Melissoptila fiebrigi Brèthes, 1909",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Arhysoceble picta (Friese, 1899)",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Ceratina (Rhysoceratina) canaliculata Roig-Alsina, 2016",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Anthrenoides alvarengai Urban, 2007",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nomada sp. 7,Social Behaviour,cleptoparasitic,,,,moderate,the trait was not extracted for this species
species not in prediction,Dialictus sp. 11,Feeding habit,generalist,,Dialictussp. 11,0.97,severe,species not extracted at all
species not in prediction,Dialictus sp. 02,Feeding habit,generalist,,Dialictussp. 02,0.97,severe,species not extracted at all
"species present, trait missing","Partamona helleri (Friese, 1900)",Social Behaviour,highly eussocial,,,,moderate,the trait was not extracted for this species
species not in prediction,Dialictus sp. 04,Feeding habit,generalist,,Dialictussp. 04,0.97,severe,species not extracted at all
"species present, trait missing","Paroxystoglossa jocasta (Schrottky, 1910)",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
species not in prediction,Megachile (Leptorachina) sp. 01,Nesting site,above ground,,Megachile sp. 01,0.70,severe,species not extracted at all
"species present, trait missing","Caenohalictus incertus (Schrottky, 1902) ",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Augochlora (Augochlora) phoemonoe  (Schrottky, 1909)",Social Behaviour,primitively eussocial,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Melipona (Melipona) quadrifasciata Lepeletier, 1836",Social Behaviour,highly eussocial,,,,moderate,the trait was not extracted for this species
species not in prediction,Dialictus sp. 14,Nesting site,ground,,Dialictussp. 14,0.97,severe,species not extracted at all
"species present, trait missing","Melissocleptis capriciosa (Schrottky, 1906)",Social Behaviour,cleptoparasitic,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Lanthanomelissa clementis Urban, 1995",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Epanthidium autumnale (Schrottky, 1909)",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Anthrenoides admirabilis Urban, 2005",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Psaenythia sp. 1,Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
species not in prediction,Trophocleptria sp. 01,Social Behaviour,cleptoparasitic,,Trophoclepria sp. 01,0.97,severe,species not extracted at all
"species present, trait missing","Caenohalictus palumbes (Vachal, 1903)",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Megachile (Leptorachis) aetheria Mitchell, 1930",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Centris (Hemisiella) tarsata Smith, 1874",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Neocorynura laevistriata Gonçalves, 2019",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
species not in prediction,Dialictus sp. 02,Social Behaviour,primitively eussocial,,Dialictussp. 02,0.97,severe,species not extracted at all
species not in prediction,Dialictus sp. 13,Feeding habit,generalist,,Dialictussp. 13,0.97,severe,species not extracted at all
species not in prediction,Dialictus sp. 06,Feeding habit,generalist,,Dialictussp. 06,0.97,severe,species not extracted at all
species not in prediction,Dialictus sp. 05,Feeding habit,generalist,,Dialictussp. 05,0.97,severe,species not extracted at all
species not in prediction,Dialictus sp. 02,Nesting site,ground,,Dialictussp. 02,0.97,severe,species not extracted at all
"species present, trait missing",Hylaeus sp. 01,Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Epanthidium nectarinioides (Schrottky, 1902)",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Austrosphecodes sp. 01,Social Behaviour,cleptoparasitic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hylaeus sp. 04,Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Melipona (Michmelia) scutellaris Latreille, 1811",Social Behaviour,highly eussocial,,,,moderate,the trait was not extracted for this species
species not in prediction,Coelioxys (Neocoelioxys) sp. 01,Feeding habit,not specified,,Coelioxys (Glyptocoelioxys) sp. 01,0.88,severe,species not extracted at all
"species present, trait missing",Hylaeus sp. 06,Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Melissoptila thoracica (Smith, 1854)",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Coelioxys (Glyptocoelioxys) sp. 01,Social Behaviour,cleptoparasitic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Coelioxys (Glyptocoelioxys) sp. 01,Social Behaviour,cleptoparasitic,,,,moderate,the trait was not extracted for this species
species not in prediction,Dialictus sp. 06,Social Behaviour,primitively eussocial,,Dialictussp. 06,0.97,severe,species not extracted at all
"species present, trait missing","Halictillus loureiroi (Moure, 1941)",Social Behaviour,solitary,,,,moderate,the trait was not extracted for this species
species not in prediction,Dialictus sp. 05,Social Behaviour,primitively eussocial,,Dialictussp. 05,0.97,severe,species not extracted at all
