basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Gyrinus,A 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,A 2,,1,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gyrinus,A 3,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gyrinus,A 4,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,B 1,,1,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Gyrinus,B 2,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,C 1,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gyrinus,C 2,,2,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Gyrinus,D 1,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,D 2,,2,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Gyrinus,D 3,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,E 1,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gyrinus,E 2,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,E 3,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Gyrinus,F 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,F 2,,2,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,G 3,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gyrinus,G 1,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,H 2,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,H 1,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,H 2,,3,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Gyrinus,H 3,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Gyrinus,H 4,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gyrinus,I 5,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,I 1,,2,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,I 2,,4,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gyrinus,I 3,,1,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gyrinus,J 4,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gyrinus,J 1,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Gyrinus,J 2,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,J 3,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gyrinus,J 4,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gyrinus,J 5,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gyrinus,J 6,,1,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Gyrinus,J 7,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,K 8,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Gyrinus,K 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,K 2,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Gyrinus,3,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Gyrinus,4,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aulonogyrus,A 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,A 2,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aulonogyrus,A 3,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aulonogyrus,A 4,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,B 1,,1,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aulonogyrus,B 2,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,C 1,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aulonogyrus,C 2,,3,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aulonogyrus,D 1,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,D 2,,2,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aulonogyrus,D 3,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,E 1,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aulonogyrus,E 2,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,E 3,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aulonogyrus,F 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,F 2,,2,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,G 3,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aulonogyrus,G 1,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,H 2,,2,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,H 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,H 2,,2,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aulonogyrus,H 3,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aulonogyrus,H 4,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aulonogyrus,I 5,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,I 1,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,I 2,,4,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aulonogyrus,I 3,,1,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aulonogyrus,J 4,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aulonogyrus,J 1,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aulonogyrus,J 2,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,J 3,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aulonogyrus,J 4,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aulonogyrus,J 5,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aulonogyrus,J 6,,1,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aulonogyrus,J 7,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,K 8,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Aulonogyrus,K 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,K 2,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aulonogyrus,3,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Aulonogyrus,4,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Orectochilus,A 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,A 2,,1,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Orectochilus,A 3,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Orectochilus,A 4,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,B 1,,1,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Orectochilus,B 2,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,C 1,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Orectochilus,C 2,,2,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Orectochilus,D 1,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,D 2,,3,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Orectochilus,D 3,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,E 1,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Orectochilus,E 2,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,E 3,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Orectochilus,F 1,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,F 2,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,G 3,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Orectochilus,G 1,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,H 2,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,H 1,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,H 2,,3,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Orectochilus,H 3,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Orectochilus,H 4,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Orectochilus,I 5,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,I 1,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,I 2,,4,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Orectochilus,I 3,,1,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Orectochilus,J 4,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Orectochilus,J 1,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Orectochilus,J 2,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,J 3,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Orectochilus,J 4,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Orectochilus,J 5,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Orectochilus,J 6,,1,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Orectochilus,J 7,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,K 8,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Orectochilus,K 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,K 2,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Orectochilus,3,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Orectochilus,4,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Peltodytes,A 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,A 2,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Peltodytes,A 3,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Peltodytes,A 4,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,B 1,,1,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Peltodytes,B 2,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,C 1,,1,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Peltodytes,C 2,,3,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Peltodytes,D 1,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,D 2,,2,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Peltodytes,D 3,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,E 1,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Peltodytes,E 2,,3,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,E 3,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Peltodytes,F 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,F 2,,1,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,G 3,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Peltodytes,G 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,H 2,,2,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,H 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,H 2,,2,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Peltodytes,H 3,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Peltodytes,H 4,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Peltodytes,I 5,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,I 1,,2,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,I 2,,2,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Peltodytes,I 3,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Peltodytes,J 4,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Peltodytes,J 1,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Peltodytes,J 2,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,J 3,,2,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Peltodytes,J 4,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Peltodytes,J 5,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Peltodytes,J 6,,1,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Peltodytes,J 7,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,K 8,,0,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Peltodytes,K 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,K 2,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Peltodytes,3,,2,,mode,,both,adult,,,,,,,,,,,
Occurrence,Peltodytes,4,,1,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Haliplus,A 1,,0,,mode,,both,adult,,,,,,,,,,,
Occurrence,Haliplus,A 2,,3,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Haliplus,A 3,,0,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Haliplus,A 4,,0,,mode,,both,adult,,,,,,,,,,,
