cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Hygrotus,Maximal size,>0.25-0.5,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hygrotus,Maximal size,>0.5-1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oulimnius,Reproduction,"Clutches, cemented or fixed",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ochthebius,Feeding habits,Shredder,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ochthebius,Feeding habits,Scraper,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Iberoporus,Reproduction,"Clutches, cemented or fixed",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydaticus,Locomotion and substrate relation,Flier,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydaticus,Locomotion and substrate relation,Swimmer (surface swimmer included),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydaticus,Locomotion and substrate relation,Crawler,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Normandia,Resistance form,,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trichonectes,Resistance form,,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dupohilus,Potential number of reproduction cycles per year,≤1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dupohilus,Respiration,Tegument,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dupohilus,Respiration,Gills,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dupohilus,Respiration,Plastron,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ochthebius,Maximal size,<= 0.25,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ochthebius,Maximal size,>0.25-0.5,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Bidessus,Reproduction,"Clutches, cemented or fixed",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Canthydrus,Locomotion and substrate relation,Flier,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Canthydrus,Locomotion and substrate relation,Swimmer (surface swimmer included),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydroporus,Life cycle duration,≤1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydroporus,Life cycle duration,>1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chasmogenus,Feeding habits,Shredder,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chasmogenus,Feeding habits,Predator (carver/engulfer/swallower),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stictotarsus,Potential number of reproduction cycles per year,≤1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stictotarsus,Potential number of reproduction cycles per year,>1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limnius,Potential number of reproduction cycles per year,≤1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limnius,Respiration,Tegument,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limnius,Respiration,Gills,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limnius,Respiration,Plastron,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cymbiodyta,Life cycle duration,≤1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cymbiodyta,Life cycle duration,>1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oulimnius,Locomotion and substrate relation,Flier,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oulimnius,Locomotion and substrate relation,Crawler,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oulimnius,Locomotion and substrate relation,Interstitial (endobenthic),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chasmogenus,Maximal size,>0.25-0.5,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Paracymus,Food,Plant detritus ≤1 mm,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Paracymus,Food,Living microphytes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Paracymus,Food,Living macrophytes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Paracymus,Food,Living microinvertebrates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Iberoporus,Locomotion and substrate relation,Swimmer (surface swimmer included),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydaticus,Aquatic stages,Egg,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydaticus,Aquatic stages,Larva + pupa,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydaticus,Aquatic stages,Adult,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hyphydrus,Aquatic stages,Egg,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hyphydrus,Aquatic stages,Larva + pupa,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hyphydrus,Aquatic stages,Adult,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydrochus,Life cycle duration,≤1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydrochus,Life cycle duration,>1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Riolus,Dispersal,Aquatic passive,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Riolus,Dispersal,Aquatic active,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Riolus,Dispersal,Aerial active,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rhantus,Respiration,Spiracle (aerial),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rhantus,Respiration,Hydrostatic vesicle (aerial),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Bidessus,Locomotion and substrate relation,Flier,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Bidessus,Locomotion and substrate relation,Swimmer (surface swimmer included),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Bidessus,Locomotion and substrate relation,Crawler,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hemisphaera,Feeding habits,Shredder,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hemisphaera,Feeding habits,Scraper,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hemisphaera,Feeding habits,Predator (carver/engulfer/swallower),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acilius,Food,Dead animals >1 mm,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acilius,Food,Living microinvertebrates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acilius,Food,Living macroinvertebrates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acilius,Food,Vertebrates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Haliplus,Feeding habits,Scraper,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Haliplus,Feeding habits,Piercer (plants or animals),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Haliplus,Feeding habits,Predator (carver/engulfer/swallower),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hygrotus,Aquatic stages,Egg,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hygrotus,Aquatic stages,Larva + pupa,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hygrotus,Aquatic stages,Adult,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hemisphaera,Maximal size,<= 0.25,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Peltodytes,Life cycle duration,≤1 ,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Peltodytes,Life cycle duration,>1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Spaherius,Resistance form,Diapause or dormancy,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Spaherius,Resistance form,,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Brychius,Life cycle duration,≤1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Brychius,Life cycle duration,>1,,,,moderate,the trait was not extracted for this species
