basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Abrostola tripartita,Diurnal activity,,strictly nocturnal,degrees latitude,geometric mean,,both,adult,,,,,,,,,,,
HumanObservation,Abrostola tripartita,EU territories,,32,degrees latitude,geometric mean,,both,adult,,,,,,,,,,,
,Abrostola tripartita,Range Latitude,"difference between northernmost and southernmost records within Europe, taken from the GBIF repository",26.69,degrees latitude,geometric mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abrostola tripartita,Wingspan,Extracted from literature,28.46,degrees latitude,geometric mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Abrostola tripartita,Female flightless,"Data compiled from faunal monographs and online databases (e.g., GBIF repository).",females with wings well developed,degrees latitude,geometric mean,,both,adult,,,,,,,,,,,
HumanObservation,Abrostola tripartita,Voltinism,,at least a partial second generation develops in eastern Austria,degrees latitude,geometric mean,,both,adult,,,,,,,,,,,
HumanObservation,Abrostola tripartita,Hibernation Larva,Assembly of a trait matrix based on faunal monographs and literature (as detailed in Additional file 5),no hibernation in larval stage recorded,degrees latitude,geometric mean,,both,adult,,,,,,,,,,,
HumanObservation,Abrostola tripartita,Hibernation Pupa,Compilation of data from faunal monographs and databases (see Additional file 5),hibernation in pupal stage recorded,degrees latitude,geometric mean,,both,adult,,,,,,,,,,,
HumanObservation,Abrostola tripartita,Hibernation Egg,Assembly of species trait data from faunal monographs and online databases (as detailed in Additional file 5),no hibernation in egg stage recorded,degrees latitude,geometric mean,,both,adult,,,,,,,,,,,
HumanObservation,Abrostola tripartita,Hibernation Imago,Assembly of species trait data from literature and faunal monographs,no hibernation as adult recorded,degrees latitude,geometric mean,,both,adult,,,,,,,,,,,
HumanObservation,Abrostola tripartita,Larvae endophagous,,larvae are external feeders throughout their life,degrees latitude,geometric mean,,both,adult,,,,,,,,,,,
Occurrence,Abrostola tripartita,Larvae social,,larvae feed solitarily,degrees latitude,geometric mean,,both,adult,,,,,,,,,,,
HumanObservation,Abrostola tripartita,Pupa in on ground,,"pupation site distinctly above ground, in higher vegetation",degrees latitude,geometric mean,,both,adult,,,,,,,,,,,
HumanObservation,Abrostola tripartita,Egg larvae arboreal,,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",degrees latitude,geometric mean,,both,adult,,,,,,,,,,,
