basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Agonum muelleri,Body Size,,6–10.9 mm,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum muelleri,Habitat Affinity,,Adaptable to various environmental conditions,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum muelleri,Humidity Affinity,,Preferring moist places,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Agonum muelleri,Breeding Period,,Spring,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum muelleri,Food Specialization,"Determination of food specialization for each species based on captured specimens (Table S3, Supplementary Materials).",Carnivorous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Agonum muelleri,Tribe Tribe,,Platynini,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Agonum muelleri,Total Total,Pitfall trapping followed by species identification and functional trait determination,256,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Agonum muelleri,Incidence,,Least concern,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum muelleri,Body size,,6–10.9 mm,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum muelleri,Habitat affinity,,adaptable to various environmental conditions,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum muelleri,Humidity affinity,Determination of functional traits (humidity affinity) for captured species,preferring moist places,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum muelleri,Breeding period,"Hůrka, K. Carabidae of the Czech and Slovak Republics; Kabourek: Zlín, Czech Republic, 1996; p. 565",Spring,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum muelleri,Food specialization,"Larochelle, A. The food of carabid beetles (Coleoptera: Carabidae, including Cicindelinae). Fabreries 1990, 5, 1–132.",Carnivorous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anchomenus dorsalis,Body Size,,6–10.9 mm,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anchomenus dorsalis,Habitat Affinity,,Preferring open areas,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anchomenus dorsalis,Humidity Affinity,,Preferring moist places,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Anchomenus dorsalis,Breeding Period,,Spring,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anchomenus dorsalis,Food Specialization,"Determination of food specialization for each species based on captured specimens (Table S3, Supplementary Materials).",Carnivorous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Anchomenus dorsalis,Tribe Tribe,,Platynini,count,single observation,,both,adult,,,,,,1071,,,,,
PreservedSpecimen,Anchomenus dorsalis,Total Total,Pitfall trapping followed by species identification and functional trait determination,1099,count,single observation,,both,adult,,,,,,1071,,,,,
PreservedSpecimen,Anchomenus dorsalis,Incidence,,Least concern,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anchomenus dorsalis,Body size,,6–10.9 mm,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anchomenus dorsalis,Habitat affinity,,preferring open areas,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anchomenus dorsalis,Humidity affinity,Determination of functional traits (humidity affinity) for captured species,preferring moist places,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anchomenus dorsalis,Breeding period,"Hůrka, K. Carabidae of the Czech and Slovak Republics; Kabourek: Zlín, Czech Republic, 1996; p. 565",Spring,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anchomenus dorsalis,Food specialization,"Larochelle, A. The food of carabid beetles (Coleoptera: Carabidae, including Cicindelinae). Fabreries 1990, 5, 1–132.",Carnivorous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion lampros,Body Size,,<5.9 mm,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion lampros,Habitat Affinity,,Preferring open areas,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion lampros,Humidity Affinity,,Adaptable to various environmental conditions,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Bembidion lampros,Breeding Period,,Spring,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion lampros,Food Specialization,"Determination of food specialization for each species based on captured specimens (Table S3, Supplementary Materials).",Carnivorous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Bembidion lampros,Tribe Tribe,,Bembidiini,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Bembidion lampros,Total Total,Pitfall trapping followed by species identification and functional trait determination,462,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Bembidion lampros,Incidence,,Least concern,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion lampros,Body size,,<5.9 mm,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion lampros,Habitat affinity,,preferring open areas,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion lampros,Humidity affinity,Determination of functional traits (humidity affinity) for captured species,adaptable to various environmental conditions,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion lampros,Breeding period,"Hůrka, K. Carabidae of the Czech and Slovak Republics; Kabourek: Zlín, Czech Republic, 1996; p. 565",Spring,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion lampros,Food specialization,"Larochelle, A. The food of carabid beetles (Coleoptera: Carabidae, including Cicindelinae). Fabreries 1990, 5, 1–132.",Carnivorous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion quadrimaculatum,Body Size,,<5.9 mm,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion quadrimaculatum,Habitat Affinity,,Preferring open areas,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion quadrimaculatum,Humidity Affinity,,Adaptable to various environmental conditions,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Bembidion quadrimaculatum,Breeding Period,,Spring,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion quadrimaculatum,Food Specialization,"Determination of food specialization for each species based on captured specimens (Table S3, Supplementary Materials).",Carnivorous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Bembidion quadrimaculatum,Tribe Tribe,,Bembidiini,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Bembidion quadrimaculatum,Total Total,Pitfall trapping followed by species identification and functional trait determination,1680,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Bembidion quadrimaculatum,Incidence,,Least concern,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion quadrimaculatum,Body size,,<5.9 mm,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion quadrimaculatum,Habitat affinity,,preferring open areas,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion quadrimaculatum,Humidity affinity,Determination of functional traits (humidity affinity) for captured species,adaptable to various environmental conditions,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion quadrimaculatum,Breeding period,"Hůrka, K. Carabidae of the Czech and Slovak Republics; Kabourek: Zlín, Czech Republic, 1996; p. 565",Spring,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bembidion quadrimaculatum,Food specialization,"Larochelle, A. The food of carabid beetles (Coleoptera: Carabidae, including Cicindelinae). Fabreries 1990, 5, 1–132.",Carnivorous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Brachinus crepitans,Body Size,,6–10.9 mm,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Brachinus crepitans,Habitat Affinity,,Preferring open areas,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Brachinus crepitans,Humidity Affinity,,Preferring dry environmental conditions,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Brachinus crepitans,Breeding Period,,Summer,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Brachinus crepitans,Food Specialization,"Determination of food specialization for each species based on captured specimens (Table S3, Supplementary Materials).",Carnivorous,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Brachinus crepitans,Tribe Tribe,,Brachinini,count,single observation,,both,adult,,,,,,335,,,,,
