cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Harpalus tardus,Habitat affinity,Open biotopes,preferring open areas,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bembidion lampros,Humidity affinity,Eurytopic,Adaptable to various environmental conditions,,,moderate,predicted a different value for this trait
"species present, trait missing",Chlaenius nitidulus,Food specialization,Carnivorous,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Dolichus halensis,Habitat affinity,Open biotopes,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Acupalpus meridianus,Humidity affinity,Mesophilous,"preferring intermediate or moderate environmental conditions, avoiding extremes of moisture or dryness",,,moderate,predicted a different value for this trait
"species+trait present, value differs",Calathus fuscipes,Habitat affinity,Open biotopes,Preferring open areas,,,moderate,predicted a different value for this trait
"species present, trait missing",Harpalus signaticornis,Breeding period,Spring/autumn,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Amara nitida,Humidity affinity,Xerophilous,preferring dry environmental conditions,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Clivina fossor,Humidity affinity,Hygrophilous,Preferring moist places,,,moderate,predicted a different value for this trait
"species present, trait missing",Harpalus signaticornis,Food specialization,Omnivorous,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Harpalus tardus,Humidity affinity,Eurytopic,adaptable to various environmental conditions,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Amara tibialis,Habitat affinity,Open biotopes,preferring open areas,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Carabus scheidleri,Habitat affinity,Silvicolous,preferring woodlands,,,moderate,predicted a different value for this trait
"species present, trait missing",Dolichus halensis,Humidity affinity,Xerophilous,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Ophonus azureus,Habitat affinity,Open biotopes,preferring open areas,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Agonum versutum,Humidity affinity,Hygrophilous,preferring moist places,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Poecilus cupreus,Habitat affinity,Eurytopic,Adaptable to various environmental conditions,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Trechus quadristriatus,Humidity affinity,Mesophilous,"Preferring intermediate or moderate environmental conditions, avoiding extremes of moisture or dryness",,,moderate,predicted a different value for this trait
"species+trait present, value differs",Poecilus lepidus,Habitat affinity,Eurytopic,adaptable to various environmental conditions,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Anchomenus dorsalis,Humidity affinity,Hygrophilous,Preferring moist places,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Microlestes maurus,Humidity affinity,Eurytopic,adaptable to various environmental conditions,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Carabus hortensis,Humidity affinity,Hygrophilous,preferring moist places,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Calathus melanocephalus,Humidity affinity,Mesophilous,"preferring intermediate or moderate environmental conditions, avoiding extremes of moisture or dryness",,,moderate,predicted a different value for this trait
"species+trait present, value differs",Agonum muelleri,Habitat affinity,Eurytopic,Adaptable to various environmental conditions,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pseudoophonus rufipes,Humidity affinity,Eurytopic,Adaptable to various environmental conditions,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bembidion illigeri,Habitat affinity,Eurytopic,adaptable to various environmental conditions,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Laemostenus terricola,Habitat affinity,Open biotopes,preferring open areas,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pterostichus nigrita,Habitat affinity,Eurytopic,adaptable to various environmental conditions,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Harpalus affinis,Habitat affinity,Open biotopes,Preferring open areas,,,moderate,predicted a different value for this trait
"species present, trait missing",Dolichus halensis,Breeding period,Late summer/autumn,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Notiophilus palustris,Humidity affinity,Hygrophilous,preferring moist places,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pterostichus melas,Humidity affinity,Mesophilous,"preferring intermediate or moderate environmental conditions, avoiding extremes of moisture or dryness",,,moderate,predicted a different value for this trait
"species+trait present, value differs",Harpalus rubripes,Humidity affinity,Eurytopic,Adaptable to various environmental conditions,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Badister unipustulatus,Habitat affinity,Silvicolous,preferring woodlands,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pterostichus niger,Habitat affinity,Silvicolous,preferring woodlands,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Laemostenus terricola,Humidity affinity,Xerophilous,preferring dry environmental conditions,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pterostichus nigrita,Humidity affinity,Hygrophilous,preferring moist places,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Calosoma auropunctatum,Humidity affinity,Xerophilous,preferring dry environmental conditions,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Calathus ambiguus,Habitat affinity,Open biotopes,preferring open areas,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pterostichus melanarius,Humidity affinity,Mesophilous,"Preferring intermediate or moderate environmental conditions, avoiding extremes of moisture or dryness",,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ophonus nitidulus,Habitat affinity,Open biotopes,preferring open areas,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pterostichus vernalis,Habitat affinity,Eurytopic,adaptable to various environmental conditions,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Stomis pumicatus,Humidity affinity,Hygrophilous,preferring moist places,,,moderate,predicted a different value for this trait
