basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
Plain Examples for HumanObservation,ardens Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,2.152,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,pyrenaeus Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.808,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,beaticola Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,2.079,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,frigidus* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.746,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,jonellus* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.766,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,cingulatus Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.826,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,mixtus* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.627,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,pratorum Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.914,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,lemniscatus Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.834,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,hypnorum Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.887,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,perplexus* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,2.006,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,bifarius* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.741,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,ternarius* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.779,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,huntii* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.931,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,vosnesenskii* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,2.043,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,impatiens* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.984,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,melanopygus* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.87,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,lapponicus Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.773,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,sylvicola* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.756,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,bimaculatus* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,2.112,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,monticola Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,1.892,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,vagans* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,2.081,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,centralis* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,2.022,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,flavifrons* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,2.059,mm,weighted average,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,vandykei* Pyrobombus,ln,Tongue length (sum of prementum and glossa) measured from published literature records of worker caste bees.,2.092,mm,weighted average,,both,adult,,,,,,,,,,,
