cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Orientalibombus haemorrhoidalis,Tongue Length,11.50751154537399,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Melanobombus lapidarius,Tongue Length,7.014644253436376,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrobombus huntii,Tongue Length,6.896403197726534,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thoracobombus muscorum,Tongue Length,7.877416541092307,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megabombus consobrinus,Tongue Length,15.30225189120779,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thoracobombus honshuensis,Tongue Length,9.544833372693173,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Alpinobombus balteatus*,Tongue Length,9.216542801948506,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrobombus bimaculatus,Tongue Length,8.264754274681641,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thoracobombus ruderarius,Tongue Length,8.499437628886124,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrobombus vagans,Tongue Length,8.012477386779517,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Bombias nevadensis,Tongue Length,9.984161626023544,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrobombus perplexus,Tongue Length,7.433523704939521,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megabombus hortorum,Tongue Length,12.40376431088053,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrobombus beaticola,Tongue Length,7.99646844628277,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Alpigenobombus kashmirensis,Tongue Length,7.235503862340522,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thoracobombus veteranus,Tongue Length,8.297879498060171,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cullumanobombus griseocollis*,Tongue Length,7.606476078195676,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Psythirus rupestris,Tongue Length,7.000628984869826,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cullumanobombus fraternus*,Tongue Length,7.433523704939521,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Alpigenobombus wurflenii,Tongue Length,8.645163226616656,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Bombus occidentalis*,Tongue Length,5.965542508313655,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Bombus ignitus,Tongue Length,9.299866079483586,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thoracobombus sylvarum,Tongue Length,8.117319590608997,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrobombus hypnorum,Tongue Length,6.599540332394181,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megabombus ruderatus,Tongue Length,11.20096572466086,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thoracobombus atratus,Tongue Length,8.398053896336657,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrobombus bifarius,Tongue Length,5.70304361571617,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrobombus flavifrons,Tongue Length,7.838127762185702,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mendacibombus waltoni,Tongue Length,9.727919012559884,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thoracobombus humilis,Tongue Length,7.948633284595532,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrobombus pyrenaeus,Tongue Length,6.098238750117822,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Psythirus insularis,Tongue Length,8.182518595626282,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrobombus lapponicus,Tongue Length,5.888492366745541,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Bombus lucorum*,Tongue Length,6.501285977333473,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thoracobombus pseudobaicalensis,Tongue Length,9.698778987414936,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrobombus ternarius,Tongue Length,5.923929526112701,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thoracobombus medius,Tongue Length,8.028518377196498,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyrobombus mixtus,Tongue Length,5.088586038867128,,,,moderate,the trait was not extracted for this species
