basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Species,functional groups functional groups,,FG,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Species,Conquense Drove Road Herbaceous,,Crop,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Species,Conquense Drove Road Herbaceous,,Crop,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Species,Conquense Drove Road Vineyard,,Crop,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Species,Conquense Drove Road Vineyard,,Crop,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Species,Murciana Drove Road Herbaceous,,Crop,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Species,Murciana Drove Road Herbaceous,,Crop,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Species,Murciana Drove Road Vineyard,,Crop,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Species,Murciana Drove Road Vineyard,,Crop,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasius grandis,functional groups functional groups,,CCS/SH,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Lasius grandis,Conquense Drove Road Herbaceous,,X,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Lasius grandis,Conquense Drove Road Herbaceous,,X,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasius grandis,Conquense Drove Road Vineyard,,X,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lasius grandis,Conquense Drove Road Vineyard,,X,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Lasius grandis,Murciana Drove Road Herbaceous,,X,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Lasius grandis,Murciana Drove Road Herbaceous,,X,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Lasius grandis,Murciana Drove Road Vineyard,,X,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Lasius grandis,Murciana Drove Road Vineyard,,X,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax universitatis,functional groups functional groups,,C,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Temnothorax universitatis,Conquense Drove Road Herbaceous,,X,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Temnothorax universitatis,Conquense Drove Road Herbaceous,,X,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax universitatis,Conquense Drove Road Vineyard,,X,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Temnothorax universitatis,Conquense Drove Road Vineyard,,X,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Temnothorax universitatis,Murciana Drove Road Herbaceous,,X,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Temnothorax universitatis,Murciana Drove Road Herbaceous,,X,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Temnothorax universitatis,Murciana Drove Road Vineyard,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Temnothorax universitatis,Murciana Drove Road Vineyard,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Solenopsis monticola,functional groups functional groups,,C,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Solenopsis monticola,Conquense Drove Road Herbaceous,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Solenopsis monticola,Conquense Drove Road Herbaceous,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Solenopsis monticola,Conquense Drove Road Vineyard,,X,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Solenopsis monticola,Conquense Drove Road Vineyard,,X,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Solenopsis monticola,Murciana Drove Road Herbaceous,,,,mode,,both,adult,,,,,,,,,,,
