cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Aphaenogaster senilis,Funtional Group,generalists and/or opportunistic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tetramorium semilaeve,Funtional Group,generalists and/or opportunistic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Messor structor,Funtional Group,hot climate specialists and/or open habitats,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cataglyphis rosenhaueri,Funtional Group,hot climate specialists and/or open habitats,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pheidole pallidula,Funtional Group,generalists and/or opportunistic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crematogaster auberti,Funtional Group,generalists and/or opportunistic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Temnothorax universitatis,Funtional Group,cryptic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus sylvaticus,Funtional Group,hot climate specialists and/or open habitats,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aphaenogaster iberica,Funtional Group,generalists and/or opportunistic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tetramorium forte,Funtional Group,generalists and/or opportunistic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tetramorium caespitum,Funtional Group,generalists and/or opportunistic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oxyopomyrmex saulcyi,Funtional Group,hot climate specialists and/or open habitats,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tapinoma madeirense,Funtional Group,generalists and/or opportunistic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus foreli,Funtional Group,hot climate specialists and/or open habitats,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lasius grandis,Funtional Group,cold-climate specialists and/or shade habitats,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Messor barbarus,Funtional Group,hot climate specialists and/or open habitats,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Messor bouvieri,Funtional Group,hot climate specialists and/or open habitats,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Solenopsis monticola,Funtional Group,cryptic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crematogaster sordidula,Funtional Group,generalists and/or opportunistic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tapinoma nigerrimum,Funtional Group,generalists and/or opportunistic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cardiocondyla batesii,Funtional Group,generalists and/or opportunistic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Messor hispanicus,Funtional Group,hot climate specialists and/or open habitats,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aphaenogaster gibbosa,Funtional Group,cryptic,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cataglyphis iberica,Funtional Group,hot climate specialists and/or open habitats,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus aethiops,Funtional Group,hot climate specialists and/or open habitats,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus micans,Funtional Group,hot climate specialists and/or open habitats,,,,moderate,the trait was not extracted for this species
