basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Acheta domesticus,Development rate,Data derived from the distribution atlas [8] and expert knowledge of the European Invertebrate Survey - Netherlands.,One,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Acheta domesticus,Habitat specificity,,narrow,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Acheta domesticus,Dispersal capacity,Data derived from distribution atlases and expert knowledge of the European Invertebrate Survey - Netherlands (Table S2),limited,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Acheta domesticus,Herbivore in all life stages,,no,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Acheta domesticus,Food specificity,,generalist,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Acheta domesticus,Egg deposition,,soil,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus albomarginatus,Development rate,Data derived from the distribution atlas [8] and expert knowledge of the European Invertebrate Survey - Netherlands.,One,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus albomarginatus,Habitat specificity,,narrow,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus albomarginatus,Dispersal capacity,Data derived from distribution atlases and expert knowledge of the European Invertebrate Survey - Netherlands (Table S2),limited,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus albomarginatus,Herbivore in all life stages,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus albomarginatus,Food specificity,,specialist,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus albomarginatus,Egg deposition,,soil,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus apricarius,Development rate,Data derived from the distribution atlas [8] and expert knowledge of the European Invertebrate Survey - Netherlands.,One,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus apricarius,Habitat specificity,,narrow,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus apricarius,Dispersal capacity,Data derived from distribution atlases and expert knowledge of the European Invertebrate Survey - Netherlands (Table S2),limited,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus apricarius,Herbivore in all life stages,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus apricarius,Food specificity,,specialist,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus apricarius,Egg deposition,,soil,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus biguttulus,Development rate,Data derived from the distribution atlas [8] and expert knowledge of the European Invertebrate Survey - Netherlands.,One,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus biguttulus,Habitat specificity,,wide,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus biguttulus,Dispersal capacity,Data derived from distribution atlases and expert knowledge of the European Invertebrate Survey - Netherlands (Table S2),high,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus biguttulus,Herbivore in all life stages,,yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Chorthippus biguttulus,Food specificity,,specialist,,mode,,both,adult,,,,,,,,,,,
