cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
species not in prediction,Agroecotettix idic,phallus length,1.5,,,0.00,severe,species not extracted at all
species not in prediction,Agroecotettix chisosensis,hind femur length,13.5,,,0.00,severe,species not extracted at all
species not in prediction,Agroecotettix chisosensis,hind femur length,10.8,,,0.00,severe,species not extracted at all
species not in prediction,Agroecotettix chisosensis,hind femur length,12.9-13.9,,,0.00,severe,species not extracted at all
species not in prediction,Agroecotettix chisosensis,hind femur length,10.3-11.5,,,0.00,severe,species not extracted at all
species not in prediction,Agroecotettix cumbres,tegmen length,4.4,,,0.00,severe,species not extracted at all
species not in prediction,Agroecotettix cumbres,tegmen length,3.7,,,0.00,severe,species not extracted at all
species not in prediction,Agroecotettix cumbres,tegmen length,4.0-5.0,,,0.00,severe,species not extracted at all
species not in prediction,Agroecotettix cumbres,tegmen length,3.2-4.2,,,0.00,severe,species not extracted at all
species not in prediction,Agroecotettix idic,phallus apex width,0.2,,,0.00,severe,species not extracted at all
species not in prediction,Agroecotettix burtoni,phallus basal width,0.7,,,0.00,severe,species not extracted at all
species not in prediction,Agroecotettix burtoni,phallus basal width,0.7,,,0.00,severe,species not extracted at all
species not in prediction,"Agroecotettix aristus Hebard, 1922",phallus length,0.7,,,0.00,severe,species not extracted at all
species not in prediction,"Agroecotettix aristus Hebard, 1922",phallus length,0.6-0.8,,,0.00,severe,species not extracted at all
species not in prediction,Agroecotettix texmex,phallus basal width,0.3,,,0.00,severe,species not extracted at all
species not in prediction,Agroecotettix texmex,phallus basal width,0.3,,,0.00,severe,species not extracted at all
species not in prediction,"Agroecotettix crypsidomus Hebard, 1922",cerci length,1.4,,,0.00,severe,species not extracted at all
species not in prediction,"Agroecotettix crypsidomus Hebard, 1922",cerci length,1.2-1.5,,,0.00,severe,species not extracted at all
species not in prediction,"Agroecotettix aristus Hebard, 1922",phallus middle width,0.5,,,0.00,severe,species not extracted at all
species not in prediction,"Agroecotettix aristus Hebard, 1922",phallus middle width,0.4-0.6,,,0.00,severe,species not extracted at all
species not in prediction,"Agroecotettix aristus Hebard, 1922",phallus apex width,0.3,,,0.00,severe,species not extracted at all
species not in prediction,"Agroecotettix aristus Hebard, 1922",phallus apex width,0.3-0.5,,,0.00,severe,species not extracted at all
