basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Anthicus sp.,length (mm) ± standard deviation,,3.14 ± 0.06,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Anthicus sp.,Body weight (mg)a,,0.68,mg,single observation,,both,adult,,,,,,,,,,,
Occurrence,Anthicus sp.,Main foraging guild,Extraction of functional trait data from existing bibliographic references (34 references),Predator,,mode,,both,adult,,,,,,,,,,,
Occurrence,Anthicus sp.,Habitat use guild,Data extracted from 34 bibliographic references (including 84–92),Geophilous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Enneboeus sp.,length (mm) ± standard deviation,,3.56 ± 0.3,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Enneboeus sp.,Body weight (mg)a,,0.89,mg,single observation,,both,adult,,,,,,,,,,,
Occurrence,Enneboeus sp.,Main foraging guild,Extraction of functional trait data from existing bibliographic references (34 references),Saprophagous,,mode,,both,adult,,,,,,,,,,,
Occurrence,Enneboeus sp.,Habitat use guild,Data extracted from 34 bibliographic references (including 84–92),Geophilous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Archeocrypticus topali,length (mm) ± standard deviation,,3.93 ± 0.23,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Archeocrypticus topali,Body weight (mg)a,,1.1,mg,single observation,,both,adult,,,,,,,,,,,
Occurrence,Archeocrypticus topali,Main foraging guild,Extraction of functional trait data from existing bibliographic references (34 references),Saprophagous,,mode,,both,adult,,,,,,,,,,,
Occurrence,Archeocrypticus topali,Habitat use guild,Data extracted from 34 bibliographic references (including 84–92),Geophilous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Enneboeus baeck-stroemi,length (mm) ± standard deviation,,3.69 ± 0,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Enneboeus baeck-stroemi,Body weight (mg)a,,0.96,mg,single observation,,both,adult,,,,,,,,,,,
Occurrence,Enneboeus baeck-stroemi,Main foraging guild,Extraction of functional trait data from existing bibliographic references (34 references),Saprophagous,,mode,,both,adult,,,,,,,,,,,
Occurrence,Enneboeus baeck-stroemi,Habitat use guild,Data extracted from 34 bibliographic references (including 84–92),Geophilous,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lithraeus sp.,length (mm) ± standard deviation,,4.9 ± 0.18,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Lithraeus sp.,Body weight (mg)a,,1.78,mg,single observation,,both,adult,,,,,,,,,,,
Occurrence,Lithraeus sp.,Main foraging guild,Extraction of functional trait data from existing bibliographic references (34 references),Phytophagous,,mode,,both,adult,,,,,,,,,,,
