cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Hybreoleptops tuberculifer,Body Length,10.85 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Metius giga,Body Length,9.7 ± 0,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Sericoides delicatula,Habitat-use guild,Arboreal,Arboreal/ Geophilous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Sericoides delicatula,Habitat-use guild,Geophilous,Arboreal/ Geophilous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Systolosoma breve,Habitat-use guild,Arboreal,Arboreal/ Geophilous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Systolosoma breve,Habitat-use guild,Geophilous,Arboreal/ Geophilous,,,moderate,predicted a different value for this trait
"species present, trait missing",Bradycellus chilensis,Body Length,4.29 ± 0.4,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Systolosoma breve,Body Length,5.44 ± 0,,,,moderate,the trait was not extracted for this species
species not in prediction,Pyractonema sp.,Body Length,12.1 ± 0,,Pyrractonema sp.,0.97,severe,species not extracted at all
"species+trait present, value differs",Sericoides convexa,Habitat-use guild,Arboreal,Arboreal/ Geophilous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Sericoides convexa,Habitat-use guild,Geophilous,Arboreal/ Geophilous,,,moderate,predicted a different value for this trait
"species present, trait missing",Sericoides obesa,Body Length,12.36 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Conognatha sagittaria,Body Length,16.61 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aulondera darwini,Body Length,2.24 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Harmonia axyridis,Body Length,7.15 ± 1.56,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anthrenus chilensis,Body Length,2.6 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tetragonoderus viridis,Body Length,5.41 ± 0.03,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Endeius punctipennis,Body Length,7.23 ± 0.28,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Arctodium sp.,Habitat-use guild,Foliage,Foliage/ Geophilous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Arctodium sp.,Habitat-use guild,Geophilous,Foliage/ Geophilous,,,moderate,predicted a different value for this trait
"species present, trait missing",Anthicus sp.,Body Length,3.14 ± 0.06,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Apterodorcus bacchus,Habitat-use guild,Arboreal,Arboreal/ Geophilous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Apterodorcus bacchus,Habitat-use guild,Geophilous,Arboreal/ Geophilous,,,moderate,predicted a different value for this trait
"species present, trait missing",Anthaxia cupriceps,Body Length,4.24 ± 0,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Anaballetus chilensis,Habitat-use guild,Arboreal,Arboreal/ Geophilous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Anaballetus chilensis,Habitat-use guild,Geophilous,Arboreal/ Geophilous,,,moderate,predicted a different value for this trait
"species present, trait missing",Smicronyx argentinensis,Body Length,1.98 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acanthoscelides obtectus,Body Length,3.87 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Enneboeus sp.,Body Length,3.56 ± 0.3,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eriopis connexa,Body Length,5.56 ± 0.08,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Creobius eydouxii,Body Length,17.98 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Otiorhynchus rugosostratus,Body Length,7.23 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pyractonema obscura,Body Length,9.86 ± 0.91,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Aphodius granarius,Habitat-use guild,Foliage,Foliage/ Geophilous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Aphodius granarius,Habitat-use guild,Geophilous,Foliage/ Geophilous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Mesembria adrasta,Habitat-use guild,Arboreal,Arboreal/ Geophilous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Mesembria adrasta,Habitat-use guild,Geophilous,Arboreal/ Geophilous,,,moderate,predicted a different value for this trait
"species present, trait missing",Polydrusus nothofagi,Body Length,3.98 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aphodius granarius,Body Length,5.75 ± 0.23,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Psyllobora picta,Main foraging guild,Mycetophagous,Predator/ Mycetophagous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Psyllobora picta,Main foraging guild,Predator,Predator/ Mycetophagous,,,moderate,predicted a different value for this trait
"species present, trait missing",Allendia chilensis,Body Length,9.69 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lithraeus sp.,Body Length,4.9 ± 0.18,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Hylamorpha elegans,Habitat-use guild,Foliage,Foliage/ Geophilous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Hylamorpha elegans,Habitat-use guild,Geophilous,Foliage/ Geophilous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Anthaxia concinna,Habitat-use guild,Flower,Arboreal/Flower,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Anthaxia concinna,Habitat-use guild,Arboreal,Arboreal/Flower,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Mordella luctuosa,Main foraging guild,Pollinivorous,Pollinivorous/Saprophagous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Mordella luctuosa,Main foraging guild,Saprophagous,Pollinivorous/Saprophagous,,,moderate,predicted a different value for this trait
"species present, trait missing",Sphaerothorax andensis,Body Length,1.09 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Platylytra vitticolle,Body Length,13.04 ± 3.42,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Mordella vidua,Main foraging guild,Saprophagous,Pollinivorous/Saprophagous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Mordella vidua,Main foraging guild,Pollinivorous,Pollinivorous/Saprophagous,,,moderate,predicted a different value for this trait
"species present, trait missing",Aramigus tessellatus,Body Length,6.4 ± 0.28,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Listronotus bonariensis,Body Length,2.93 ± 0,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Mordella abbreviata,Main foraging guild,Saprophagous,Pollinivorous/Saprophagous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Mordella abbreviata,Main foraging guild,Pollinivorous,Pollinivorous/Saprophagous,,,moderate,predicted a different value for this trait
"species present, trait missing",Sericoides delicatula,Body Length,6.27 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oligocora nitidum,Body Length,12.11 ± 0.67,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Micrambina basalis,Body Length,1.76 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Psyllobora picta,Body Length,3.11 ± 0.13,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ceroglossus chilensis,Body Length,23.24 ± 0.12,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Omoides flavipes,Body Length,2.78 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sericoides convexa,Body Length,9.05 ± 0.54,,,,moderate,the trait was not extracted for this species
species not in prediction,Enneboeus baeckstroemi,Body weight,0.96,,Enneboeus baeck-stroemi,0.67,severe,species not extracted at all
"species+trait present, value differs",Mesembria adrasta,Main foraging guild,Phytophagous,Phytophagous/Saprophagous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Mesembria adrasta,Main foraging guild,Saprophagous,Phytophagous/Saprophagous,,,moderate,predicted a different value for this trait
"species present, trait missing",Blapstinus punctulatus,Body Length,5.71 ± 0.45,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Epicauta pilme,Body Length,10.29 ± 0.35,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mordella luctuosa,Body Length,8.88 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mordella vidua,Body Length,4.49 ± 0.43,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Arctodium sp.,Body Length,6.5 ± 0,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apterodorcus bacchus,Body Length,24.23 ± 0,,,,moderate,the trait was not extracted for this species
