basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Nicrophorus quadripunctatus,Elevation,"Collection of beetle samples at specific, measured elevations along the northern slope of Changbai Mountain.",800,m,single observation,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,sex,,1,,mode,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,bodysize,Morphological traits were measured under a binocular microscope with the Nikon NIS-Elements D 5.01.00.,19.61727,,mean ± SD,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,headlenth,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),5.50862,ratio to body length,mean ± SD,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,headwidth,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),4.20407,mm,mean,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,thoraxlenth,Measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00) on preserved specimens.,4.60865,Ratio,mean,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,thoraxwidth,Direct measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),5.42353,,mean,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,elytralenth,Morphological measurement of elytra length using a binocular microscope (Nikon NIS-Elements D 5.01.00),9.5,ratio,mean ± SD,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,bodywidth,Measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),6.94948,,CWM,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,femur,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),4.88181,Ratio,mean ± SD,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,tibia,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),4.5256,Ratio,mean ± SD,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,antenna,Morphometric measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),4.34037,Dimensionless,mean,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,hindwing,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),20.21708,Ratio to body length,single observation,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,leglenth,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),9.40741,Ratio,mean ± SD,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,Elevation,"Collection of beetle samples at specific, measured elevations along the northern slope of Changbai Mountain.",800,m,single observation,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,sex,,0,,mode,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,bodysize,Morphological traits were measured under a binocular microscope with the Nikon NIS-Elements D 5.01.00.,17.40299,,mean ± SD,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,headlenth,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),3.86145,ratio to body length,mean ± SD,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,headwidth,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),3.60594,mm,mean,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,thoraxlenth,Measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00) on preserved specimens.,4.4125,Ratio,mean,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,thoraxwidth,Direct measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),5.19792,,mean,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,elytralenth,Morphological measurement of elytra length using a binocular microscope (Nikon NIS-Elements D 5.01.00),9.12904,ratio,mean ± SD,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,bodywidth,Measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),6.9702,,CWM,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,femur,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),3.53074,Ratio,mean ± SD,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,tibia,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),4.28406,Ratio,mean ± SD,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,antenna,Morphometric measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),3.9186,Dimensionless,mean,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,hindwing,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),25,Ratio to body length,single observation,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,leglenth,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),7.8148,Ratio,mean ± SD,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,Elevation,"Collection of beetle samples at specific, measured elevations along the northern slope of Changbai Mountain.",800,m,single observation,,both,adult,,,,,,3,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,sex,,0,,mode,,both,adult,,,,,,3,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,bodysize,Morphological traits were measured under a binocular microscope with the Nikon NIS-Elements D 5.01.00.,18.04449,,mean ± SD,,both,adult,,,,,,3,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,headlenth,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),3.89811,ratio to body length,mean ± SD,,both,adult,,,,,,3,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,headwidth,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),3.75178,mm,mean,,both,adult,,,,,,3,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,thoraxlenth,Measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00) on preserved specimens.,4.6143,Ratio,mean,,both,adult,,,,,,3,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,thoraxwidth,Direct measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),5.43608,,mean,,both,adult,,,,,,3,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,elytralenth,Morphological measurement of elytra length using a binocular microscope (Nikon NIS-Elements D 5.01.00),9.53208,ratio,mean ± SD,,both,adult,,,,,,3,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,bodywidth,Measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),6.9636,,CWM,,both,adult,,,,,,3,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,femur,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),4.68248,Ratio,mean ± SD,,both,adult,,,,,,3,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,tibia,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),4.16392,Ratio,mean ± SD,,both,adult,,,,,,3,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,antenna,Morphometric measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),4.17546,Dimensionless,mean,,both,adult,,,,,,3,,,,,
PreservedSpecimen,Nicrophorus quadripunctatus,hindwing,Morphological measurement using a binocular microscope (Nikon NIS-Elements D 5.01.00),20,Ratio to body length,single observation,,both,adult,,,,,,3,,,,,
