cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Nicrophorus concolor,Total Length,13.20174,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus concolor,Total Length,13.8191,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus concolor,Total Length,14.38046,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus concolor,Total Length,12.78946,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus concolor,Total Length,10.84223,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,4.60865,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,4.4125,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,4.6143,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,4.06935,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,3.44949,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,3.57221,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,3.5784,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,3.76781,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,3.59877,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,3.99772,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,4.17161,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,3.61297,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,3.51782,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,3.07383,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,4.0327,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,3.9921,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,4.3532,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,5.207,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,4.56681,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,4.58323,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nicrophorus quadripunctatus,Thorax Length,4.45601,,,,moderate,the trait was not extracted for this species
