basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Agrotis exclamationis,Expert 1,,very mobile,,mean,,male,adult,,,,,,,,,,,
PreservedSpecimen,Agrotis exclamationis,Expert 2,,mobile,,mean,,male,adult,,,,,,,,,,,
LivingSpecimen,Agrotis exclamationis,Expert 3,,mobile,,mean,,male,adult,,,,,,,,,,,
HumanObservation,Agrotis exclamationis,Expert 4,,mobile,,mean,,male,adult,,,,,,,,,,,
LivingSpecimen,Agrotis exclamationis,Expert 5,,sedentary,,mean,,male,adult,,,,,,,,,,,
LivingSpecimen,Agrotis exclamationis,points,Tethered flight mill apparatus,1,,mean,,male,adult,,,,,,,,,,,
HumanObservation,Agrotis exclamationis,Suction trap score,"Presence in top 25% of species caught in Rothamsted Insect Survey suction traps (12.2 m above ground, 2000–2009)",top 25% of all species caught 12.2 m above the ground,,mean,,male,adult,,,,,,,,,,,
HumanObservation,Agrotis exclamationis,Expert opinion,,1,,mean,,male,adult,,,,,,,,,,,
LivingSpecimen,Agrotis exclamationis,Score,Tethered flight mill apparatus (rotational flight mill),2.0,,mean,,male,adult,,,,,,,,,,,
HumanObservation,Agrotis exclamationis,Mobility category,,Medium,,mean,,male,adult,,,,,,,,,,,
LivingSpecimen,Agrotis exclamationis,Total distance,,6935,m,mean,,male,adult,,,,,,,,,,,
LivingSpecimen,Agrotis exclamationis,Maximum speed,,1.458,m/s,mean,,male,adult,,,,,,,,,,,
HumanObservation,Agrotis puta,Expert 1,,very mobile,,mean,,male,adult,,,,,,,,,,,
PreservedSpecimen,Agrotis puta,Expert 2,,mobile,,mean,,male,adult,,,,,,,,,,,
LivingSpecimen,Agrotis puta,Expert 3,,mobile,,mean,,male,adult,,,,,,,,,,,
HumanObservation,Agrotis puta,Expert 4,,mobile,,mean,,male,adult,,,,,,,,,,,
LivingSpecimen,Agrotis puta,Expert 5,,mobile,,mean,,male,adult,,,,,,,,,,,
LivingSpecimen,Agrotis puta,points,Tethered flight mill apparatus,1.2,,mean,,male,adult,,,,,,,,,,,
HumanObservation,Agrotis puta,Suction trap score,"Presence in top 25% of species caught in Rothamsted Insect Survey suction traps (12.2 m above ground, 2000–2009)",top 25% of all species caught 12.2 m above the ground,,mean,,male,adult,,,,,,,,,,,
HumanObservation,Agrotis puta,Expert opinion,,1.2,,mean,,male,adult,,,,,,,,,,,
LivingSpecimen,Agrotis puta,Score,Tethered flight mill apparatus (rotational flight mill),2.2,,mean,,male,adult,,,,,,,,,,,
