basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
LivingSpecimen,Aphaenogaster rudisc,lifespan,Lifespan was determined by rearing queens in a laboratory setting.,13.1,,maximum,,both,adult,queen,,,,,,,,,,
LivingSpecimen,Aphaenogaster rudisc,lifespan,Lifespan was determined by rearing queens in a laboratory setting.,8.7,,mean,,both,adult,queen,,,,,,,,,,
HumanObservation,Aphaenogaster rudisc,Queen number,Observation of colony social structure to determine the number of queens per colony (monogyne vs polygyne).,Species that are primarily monogynous,years,mode,,both,adult,queen,,,,,,,,,,
HumanObservation,Aphaenogaster rudisc,Colony founding,,Species that found new colonies primarily through independent colony founding,years,mode,,both,adult,queen,,,,,,,,,,
LivingSpecimen,Atta cephalotes,lifespan,Lifespan was determined by rearing queens in a laboratory setting.,$13.0^h$,,maximum,,both,adult,queen,,,,,,,,,,
LivingSpecimen,Atta cephalotes,lifespan,Lifespan was determined by rearing queens in a laboratory setting.,,,mean,,both,adult,queen,,,,,,,,,,
HumanObservation,Atta cephalotes,Queen number,Observation of colony social structure to determine the number of queens per colony (monogyne vs polygyne).,Species that are primarily monogynous,years,mode,,both,adult,queen,,,,,,,,,,
HumanObservation,Atta cephalotes,Colony founding,,Species that found new colonies primarily through independent colony founding,years,mode,,both,adult,queen,,,,,,,,,,
LivingSpecimen,Atta sexdens,lifespan,Lifespan was determined by rearing queens in a laboratory setting.,$15.3^i$,,maximum,,both,adult,queen,,,,,,,,,,
LivingSpecimen,Atta sexdens,lifespan,Lifespan was determined by rearing queens in a laboratory setting.,,,mean,,both,adult,queen,,,,,,,,,,
HumanObservation,Atta sexdens,Queen number,Observation of colony social structure to determine the number of queens per colony (monogyne vs polygyne).,Species that are primarily monogynous,years,mode,,both,adult,queen,,,,,,,,,,
HumanObservation,Atta sexdens,Colony founding,,Species that found new colonies primarily through independent colony founding,years,mode,,both,adult,queen,,,,,,,,,,
LivingSpecimen,Camponotus consobrinus,lifespan,Lifespan was determined by rearing queens in a laboratory setting.,>7,,maximum,,both,adult,queen,,,,,,,,,,
LivingSpecimen,Camponotus consobrinus,lifespan,Lifespan was determined by rearing queens in a laboratory setting.,,,mean,,both,adult,queen,,,,,,,,,,
HumanObservation,Camponotus consobrinus,Queen number,Observation of colony social structure to determine the number of queens per colony (monogyne vs polygyne).,Species that are primarily monogynous,years,mode,,both,adult,queen,,,,,,,,,,
HumanObservation,Camponotus consobrinus,Colony founding,,Species that found new colonies primarily through independent colony founding,years,mode,,both,adult,queen,,,,,,,,,,
LivingSpecimen,Camponotus herculaneus,lifespan,Lifespan was determined by rearing queens in a laboratory setting.,>10,,maximum,,both,adult,queen,,,,,,,,,,
LivingSpecimen,Camponotus herculaneus,lifespan,Lifespan was determined by rearing queens in a laboratory setting.,,,mean,,both,adult,queen,,,,,,,,,,
HumanObservation,Camponotus herculaneus,Queen number,Observation of colony social structure to determine the number of queens per colony (monogyne vs polygyne).,Species that are primarily monogynous,years,mode,,both,adult,queen,,,,,,,,,,
HumanObservation,Camponotus herculaneus,Colony founding,,Species that found new colonies primarily through independent colony founding,years,mode,,both,adult,queen,,,,,,,,,,
