cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Crematogaster scutellaris,colony founding,primarily use independent colony founding,Species that found new colonies primarily through independent colony founding,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Myrmecia lobicornis,colony founding,found new colonies independently and dependently,Species that found new colonies primarily through independent colony founding,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Formica sanguinea,queen number,commonly have both monogyne and polygyne colonies,Species that are primarily monogynous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Formica polyctena,colony founding,found new colonies dependently and parasitize colonies of other ant species,Species that generally use a dependent colony founding,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Myrmecocystus mimicus,colony founding,primarily use independent colony founding,Species that found new colonies primarily through independent colony founding,,,moderate,predicted a different value for this trait
"species present, trait missing",Harpagoxenus sublaevis,maximum lifespan,>14,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Diacamma cf. rugosum,maximum lifespan,1.09,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Reticulitermes hesperus,maximum lifespan,30,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Messor semirufus,maximum lifespan,9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Leptothorax parvulus,mean lifespan,10,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Leptothorax affinis,mean lifespan,11,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Macrotermes subhyalinus,mean lifespan,ca. 16,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tapinoma sessile,mean lifespan,a few weeks,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cardiocondyla emeryi,mean lifespan,0.3,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmecia vindex,mean lifespan,7.06,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Myrmecia limanica,colony founding,found new colonies independently and dependently,Species that found new colonies primarily through independent colony founding,,,moderate,predicted a different value for this trait
species not in prediction,Aphaenogaster rudis,maximum lifespan,13.1,,Aphaenogaster rudisc,0.97,severe,species not extracted at all
"species present, trait missing",Formica fusca,maximum lifespan,16,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Solenopsis invicta,queen number,commonly have both monogyne and polygyne colonies,Species that are primarily monogynous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lasius niger,colony founding,primarily use independent colony founding,Species that found new colonies primarily through independent colony founding,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Atta cephalotes,colony founding,primarily use independent colony founding,Species that found new colonies primarily through independent colony founding,,,moderate,predicted a different value for this trait
species not in prediction,Aphaenogaster rudis,queen number,primarily monogynous,,Aphaenogaster rudisc,0.97,severe,species not extracted at all
"species present, trait missing",Leptothorax rabaudi,maximum lifespan,>10,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmecia sulcinodis,mean lifespan,4.05,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Myrmecocystus mimicus,maximum lifespan,>11,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Ectatomma ruidum,colony founding,primarily use independent colony founding,Species that found new colonies primarily through independent colony founding,,,moderate,predicted a different value for this trait
"species present, trait missing",Leptothorax melas,maximum lifespan,>10,,,,moderate,the trait was not extracted for this species
