basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Aenictus vaucheri,Worker body size,,3.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aenictus vaucheri,Worker polymorphism,,NA,count,mean,,both,adult,worker,,,,,,,,,,
,Aenictus vaucheri,Colony size,,NA,,mean,,both,adult,worker,,,,,,,,,,
,Aenictus vaucheri,Seeds,,0.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aenictus vaucheri,Insects,Pitfall traps,1.0,count,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aenictus vaucheri,Liquid,Environmental data collection/Monitoring,1.0,mm,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aenictus vaucheri,Colony foundation,,0.0,,mean,,both,adult,worker,,,,,,,,,,
,Aenictus vaucheri,Number of queens,,0.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aenictus vaucheri,Diurnality,,0.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aenictus vaucheri,Foraging strategy,,group,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aenictus vaucheri,Nesting site,,Hypogaeic,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Anochetus ghilianii,Worker body size,,3.84,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Anochetus ghilianii,Worker polymorphism,,0.18,count,mean,,both,adult,worker,,,,,,,,,,
,Anochetus ghilianii,Colony size,,100.0,,mean,,both,adult,worker,,,,,,,,,,
,Anochetus ghilianii,Seeds,,0.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Anochetus ghilianii,Insects,Pitfall traps,1.0,count,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Anochetus ghilianii,Liquid,Environmental data collection/Monitoring,1.0,mm,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Anochetus ghilianii,Colony foundation,,0.0,,mean,,both,adult,worker,,,,,,,,,,
,Anochetus ghilianii,Number of queens,,0.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Anochetus ghilianii,Diurnality,,0.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Anochetus ghilianii,Foraging strategy,,individual,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Anochetus ghilianii,Nesting site,,Hypogaeic,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster gemella,Worker body size,,3.85,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster gemella,Worker polymorphism,,0.18,count,mean,,both,adult,worker,,,,,,,,,,
,Aphaenogaster gemella,Colony size,,NA,,mean,,both,adult,worker,,,,,,,,,,
,Aphaenogaster gemella,Seeds,,1.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster gemella,Insects,Pitfall traps,1.0,count,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster gemella,Liquid,Environmental data collection/Monitoring,0.0,mm,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster gemella,Colony foundation,,NA,,mean,,both,adult,worker,,,,,,,,,,
,Aphaenogaster gemella,Number of queens,,0.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster gemella,Diurnality,,NA,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster gemella,Foraging strategy,,group,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster gemella,Nesting site,,Hypogaeic,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster mauritanica,Worker body size,,6.8,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster mauritanica,Worker polymorphism,,0.38,count,mean,,both,adult,worker,,,,,,,,,,
,Aphaenogaster mauritanica,Colony size,,650.0,,mean,,both,adult,worker,,,,,,,,,,
,Aphaenogaster mauritanica,Seeds,,1.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster mauritanica,Insects,Pitfall traps,0.0,count,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster mauritanica,Liquid,Environmental data collection/Monitoring,0.0,mm,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster mauritanica,Colony foundation,,0.0,,mean,,both,adult,worker,,,,,,,,,,
,Aphaenogaster mauritanica,Number of queens,,0.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster mauritanica,Diurnality,,1.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster mauritanica,Foraging strategy,,group,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster mauritanica,Nesting site,,Hypogaeic,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster sardoa,Worker body size,,5.75,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster sardoa,Worker polymorphism,,0.09,count,mean,,both,adult,worker,,,,,,,,,,
,Aphaenogaster sardoa,Colony size,,100.0,,mean,,both,adult,worker,,,,,,,,,,
,Aphaenogaster sardoa,Seeds,,NA,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster sardoa,Insects,Pitfall traps,NA,count,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster sardoa,Liquid,Environmental data collection/Monitoring,NA,mm,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster sardoa,Colony foundation,,NA,,mean,,both,adult,worker,,,,,,,,,,
,Aphaenogaster sardoa,Number of queens,,0.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster sardoa,Diurnality,,NA,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster sardoa,Foraging strategy,,group,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster sardoa,Nesting site,,Hypogaeic,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster senilis,Worker body size,,7.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster senilis,Worker polymorphism,,0.1,count,mean,,both,adult,worker,,,,,,,,,,
,Aphaenogaster senilis,Colony size,,650.0,,mean,,both,adult,worker,,,,,,,,,,
,Aphaenogaster senilis,Seeds,,1.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster senilis,Insects,Pitfall traps,1.0,count,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster senilis,Liquid,Environmental data collection/Monitoring,0.0,mm,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster senilis,Colony foundation,,0.0,,mean,,both,adult,worker,,,,,,,,,,
,Aphaenogaster senilis,Number of queens,,0.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Aphaenogaster senilis,Diurnality,,1.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster senilis,Foraging strategy,,group,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Aphaenogaster senilis,Nesting site,,Hypogaeic,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus ali,Worker body size,,8.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus ali,Worker polymorphism,,0.62,count,mean,,both,adult,worker,,,,,,,,,,
,Camponotus ali,Colony size,,NA,,mean,,both,adult,worker,,,,,,,,,,
,Camponotus ali,Seeds,,NA,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus ali,Insects,Pitfall traps,NA,count,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus ali,Liquid,Environmental data collection/Monitoring,NA,mm,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus ali,Colony foundation,,NA,,mean,,both,adult,worker,,,,,,,,,,
,Camponotus ali,Number of queens,,0.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus ali,Diurnality,,NA,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus ali,Foraging strategy,,group,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus ali,Nesting site,,Hypogaeic,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus atlantis,Worker body size,,6.45,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus atlantis,Worker polymorphism,,0.63,count,mean,,both,adult,worker,,,,,,,,,,
,Camponotus atlantis,Colony size,,NA,,mean,,both,adult,worker,,,,,,,,,,
,Camponotus atlantis,Seeds,,NA,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus atlantis,Insects,Pitfall traps,NA,count,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus atlantis,Liquid,Environmental data collection/Monitoring,NA,mm,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus atlantis,Colony foundation,,NA,,mean,,both,adult,worker,,,,,,,,,,
,Camponotus atlantis,Number of queens,,0.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus atlantis,Diurnality,,NA,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus atlantis,Foraging strategy,,group,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus atlantis,Nesting site,,Hypogaeic,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus cruentatus,Worker body size,,10.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus cruentatus,Worker polymorphism,,0.8,count,mean,,both,adult,worker,,,,,,,,,,
,Camponotus cruentatus,Colony size,,5000.0,,mean,,both,adult,worker,,,,,,,,,,
,Camponotus cruentatus,Seeds,,0.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus cruentatus,Insects,Pitfall traps,1.0,count,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus cruentatus,Liquid,Environmental data collection/Monitoring,1.0,mm,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus cruentatus,Colony foundation,,1.0,,mean,,both,adult,worker,,,,,,,,,,
,Camponotus cruentatus,Number of queens,,0.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus cruentatus,Diurnality,,0.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus cruentatus,Foraging strategy,,group,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus cruentatus,Nesting site,,Hypogaeic,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus foreli,Worker body size,,6.1,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus foreli,Worker polymorphism,,0.7,count,mean,,both,adult,worker,,,,,,,,,,
,Camponotus foreli,Colony size,,400.0,,mean,,both,adult,worker,,,,,,,,,,
,Camponotus foreli,Seeds,,0.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus foreli,Insects,Pitfall traps,0.0,count,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus foreli,Liquid,Environmental data collection/Monitoring,1.0,mm,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus foreli,Colony foundation,,1.0,,mean,,both,adult,worker,,,,,,,,,,
,Camponotus foreli,Number of queens,,0.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus foreli,Diurnality,,1.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus foreli,Foraging strategy,,group,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus foreli,Nesting site,,Hypogaeic,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus lateralis,Worker body size,,5.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus lateralis,Worker polymorphism,,0.4,count,mean,,both,adult,worker,,,,,,,,,,
,Camponotus lateralis,Colony size,,1000.0,,mean,,both,adult,worker,,,,,,,,,,
,Camponotus lateralis,Seeds,,0.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus lateralis,Insects,Pitfall traps,0.0,count,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus lateralis,Liquid,Environmental data collection/Monitoring,1.0,mm,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus lateralis,Colony foundation,,1.0,,mean,,both,adult,worker,,,,,,,,,,
,Camponotus lateralis,Number of queens,,0.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus lateralis,Diurnality,,1.0,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus lateralis,Foraging strategy,,group,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus lateralis,Nesting site,,Arboreal,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus ruber,Worker body size,,6.3,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus ruber,Worker polymorphism,,0.69,count,mean,,both,adult,worker,,,,,,,,,,
,Camponotus ruber,Colony size,,70.0,,mean,,both,adult,worker,,,,,,,,,,
,Camponotus ruber,Seeds,,NA,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus ruber,Insects,Pitfall traps,NA,count,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus ruber,Liquid,Environmental data collection/Monitoring,NA,mm,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus ruber,Colony foundation,,NA,,mean,,both,adult,worker,,,,,,,,,,
,Camponotus ruber,Number of queens,,0.0,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus ruber,Diurnality,,NA,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus ruber,Foraging strategy,,group,,mean,,both,adult,worker,,,,,,,,,,
HumanObservation,Camponotus ruber,Nesting site,,Arboreal,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus serotinus,Worker body size,,11.75,,mean,,both,adult,worker,,,,,,,,,,
PreservedSpecimen,Camponotus serotinus,Worker polymorphism,,0.6,count,mean,,both,adult,worker,,,,,,,,,,
