cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Temnothorax curtulus,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Messor barbarus,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crematogaster auberti,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pheidole pallidula,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Temnothorax tyndalei,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Messor barbarus,Worker body size ,7.09,7.9,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Crematogaster auberti,Worker body size ,3.04,3.4,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Goniomma hispanicum,Worker body size ,3.09,3.9,,,moderate,predicted a different value for this trait
"species present, trait missing",Camponotus ruber,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aphaenogaster mauritanica,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus ali,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Temnothorax formosus,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Technomyrmex vexatus,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Technomyrmex vexatus,Worker body size ,3.02,3.2,,,moderate,predicted a different value for this trait
"species present, trait missing",Temnothorax atlantis,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Oxyopoyrmex sp.,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aphaenogaster gemella ,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Monomorium salomonis,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lepisiota frauenfeldi,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus serotinus,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus foreli,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Camponotus foreli,Worker body size ,6.01,6.1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Lasius grandis,Worker body size ,3.05,3.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Camponotus lateralis,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Goniomma hispanicum,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Tetramorium semilaeve,Worker body size ,3.06,3.6,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Goniomma kugleri,Worker body size ,3.01,3.1,,,moderate,predicted a different value for this trait
"species present, trait missing",Tetramorium caespitum,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Temnothorax spinosus,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Tetramorium caespitum,Worker body size ,2.09,2.9,,,moderate,predicted a different value for this trait
"species present, trait missing",Crematogaster scutellaris ,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Temnothorax spinosus,Worker body size ,2.08,2.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Crematogaster scutellaris ,Worker body size ,4.01,4.1,,,moderate,predicted a different value for this trait
"species present, trait missing",Paratrechina longicornis,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Plagiolepis schmitzii,Worker body size ,2.01,2.1,,,moderate,predicted a different value for this trait
"species present, trait missing",Camponotus spissinodis,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Paratrechina longicornis,Worker body size ,2.03,2.3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Crematogaster sordidula,Worker body size ,2.05,2.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Lasius grandis,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Messor abdelazizi,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Temnothorax recedens,Worker body size ,2.07,2.7,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Temnothorax curtulus,Worker body size ,5.192,5193.0,,,moderate,predicted a different value for this trait
"species present, trait missing",Tetramorium semilaeve,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Pheidole pallidula,Worker body size ,3.02,3.2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Temnothorax tyndalei,Worker body size ,2.07,2.7,,,moderate,predicted a different value for this trait
"species present, trait missing",Tetramorium exasperatum,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Goniomma kugleri,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus atlantis,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Messor marocanus,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Camponotus ruber,Worker body size ,6.03,6.3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Aphaenogaster mauritanica,Worker body size ,6.08,6.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Temnothorax formosus,Worker body size ,3.02,3.2,,,moderate,predicted a different value for this trait
"species present, trait missing",Messor sanctus,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Plagiolepis schmitzii,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cataglyphis cubica,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lasius lasioides,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aphaenogaster sardoa,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Crematogaster sordidula,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Messor sanctus,Worker body size ,5.05,5.5,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cataglyphis cubica,Worker body size ,6.05,6.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Anochetus ghilianii,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Solenopsis occipitalis cfr.,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aenictus vaucheri,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus cruentatus,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Plagiolepis maura,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Solenopsis occipitalis cfr.,Worker body size ,1.05,1.5,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Monomorium salomonis,Worker body size ,3.01,3.1,,,moderate,predicted a different value for this trait
"species present, trait missing",Aphaenogaster senilis,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tapinoma simrothi,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Tapinoma simrothi,Worker body size ,3.02,3.2,,,moderate,predicted a different value for this trait
"species present, trait missing",Temnothorax recedens,,"province of Tetouan, in northern Morocco",,,,moderate,the trait was not extracted for this species
