basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
Occurrence,Adscita geryon,Mobility,Derived from the four-level habitat fidelity fuzzy variable of the Fauna Indicativa (FI) database.,2,score,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Adscita geryon,Larval diet,"Fauna Indicativa (FI) database (Klaiber et al., 2017a, 2017b)",Monophagous,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Adscita geryon,Overw. stage,1500 m transect survey (Pollard walk) with a 5 m recording range on each side of the observer,Larva,,single observation,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,Adscita geryon,Voltinism,,1,generations/year,single observation,,both,adult,,,,,,,,,,,
Occurrence,Adscita geryon,Habitat breadth,,1,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Adscita geryon,number of used habitat subtypes,Calculation of the number of used habitat subtypes based on the Fauna Indicativa (FI) database.,2,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Adscita statices,Mobility,Derived from the four-level habitat fidelity fuzzy variable of the Fauna Indicativa (FI) database.,2,score,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Adscita statices,Larval diet,"Fauna Indicativa (FI) database (Klaiber et al., 2017a, 2017b)",Oligophagous,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Adscita statices,Overw. stage,1500 m transect survey (Pollard walk) with a 5 m recording range on each side of the observer,Larva,,single observation,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,Adscita statices,Voltinism,,1,generations/year,single observation,,both,adult,,,,,,,,,,,
Occurrence,Adscita statices,Habitat breadth,,2,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Adscita statices,number of used habitat subtypes,Calculation of the number of used habitat subtypes based on the Fauna Indicativa (FI) database.,3,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aglais io,Mobility,Derived from the four-level habitat fidelity fuzzy variable of the Fauna Indicativa (FI) database.,3,score,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aglais io,Larval diet,"Fauna Indicativa (FI) database (Klaiber et al., 2017a, 2017b)",Monophagous,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aglais io,Overw. stage,1500 m transect survey (Pollard walk) with a 5 m recording range on each side of the observer,Adult,,single observation,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,Aglais io,Voltinism,,1.5,generations/year,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aglais io,Habitat breadth,,3,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aglais io,number of used habitat subtypes,Calculation of the number of used habitat subtypes based on the Fauna Indicativa (FI) database.,3,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aglais urticae,Mobility,Derived from the four-level habitat fidelity fuzzy variable of the Fauna Indicativa (FI) database.,3,score,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aglais urticae,Larval diet,"Fauna Indicativa (FI) database (Klaiber et al., 2017a, 2017b)",Monophagous,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aglais urticae,Overw. stage,1500 m transect survey (Pollard walk) with a 5 m recording range on each side of the observer,Adult,,single observation,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,Aglais urticae,Voltinism,,2,generations/year,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aglais urticae,Habitat breadth,,2,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aglais urticae,number of used habitat subtypes,Calculation of the number of used habitat subtypes based on the Fauna Indicativa (FI) database.,2,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Anthocharis cardamines,Mobility,Derived from the four-level habitat fidelity fuzzy variable of the Fauna Indicativa (FI) database.,2,score,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Anthocharis cardamines,Larval diet,"Fauna Indicativa (FI) database (Klaiber et al., 2017a, 2017b)",Oligophagous,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Anthocharis cardamines,Overw. stage,1500 m transect survey (Pollard walk) with a 5 m recording range on each side of the observer,Pupa,,single observation,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,Anthocharis cardamines,Voltinism,,1,generations/year,single observation,,both,adult,,,,,,,,,,,
Occurrence,Anthocharis cardamines,Habitat breadth,,3,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Anthocharis cardamines,number of used habitat subtypes,Calculation of the number of used habitat subtypes based on the Fauna Indicativa (FI) database.,5,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Apatura ilia,Mobility,Derived from the four-level habitat fidelity fuzzy variable of the Fauna Indicativa (FI) database.,2.5,score,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Apatura ilia,Larval diet,"Fauna Indicativa (FI) database (Klaiber et al., 2017a, 2017b)",Oligophagous,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Apatura ilia,Overw. stage,1500 m transect survey (Pollard walk) with a 5 m recording range on each side of the observer,Larva,,single observation,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,Apatura ilia,Voltinism,,1.5,generations/year,single observation,,both,adult,,,,,,,,,,,
Occurrence,Apatura ilia,Habitat breadth,,1,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Apatura ilia,number of used habitat subtypes,Calculation of the number of used habitat subtypes based on the Fauna Indicativa (FI) database.,2,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Apatura iris,Mobility,Derived from the four-level habitat fidelity fuzzy variable of the Fauna Indicativa (FI) database.,2.5,score,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Apatura iris,Larval diet,"Fauna Indicativa (FI) database (Klaiber et al., 2017a, 2017b)",Oligophagous,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Apatura iris,Overw. stage,1500 m transect survey (Pollard walk) with a 5 m recording range on each side of the observer,Larva,,single observation,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,Apatura iris,Voltinism,,1,generations/year,single observation,,both,adult,,,,,,,,,,,
Occurrence,Apatura iris,Habitat breadth,,1,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Apatura iris,number of used habitat subtypes,Calculation of the number of used habitat subtypes based on the Fauna Indicativa (FI) database.,1,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aphantopus hyperantus,Mobility,Derived from the four-level habitat fidelity fuzzy variable of the Fauna Indicativa (FI) database.,2,score,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aphantopus hyperantus,Larval diet,"Fauna Indicativa (FI) database (Klaiber et al., 2017a, 2017b)",Oligophagous,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aphantopus hyperantus,Overw. stage,1500 m transect survey (Pollard walk) with a 5 m recording range on each side of the observer,Larva,,single observation,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,Aphantopus hyperantus,Voltinism,,1,generations/year,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aphantopus hyperantus,Habitat breadth,,4,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aphantopus hyperantus,number of used habitat subtypes,Calculation of the number of used habitat subtypes based on the Fauna Indicativa (FI) database.,8,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aporia crataegi,Mobility,Derived from the four-level habitat fidelity fuzzy variable of the Fauna Indicativa (FI) database.,2.5,score,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aporia crataegi,Larval diet,"Fauna Indicativa (FI) database (Klaiber et al., 2017a, 2017b)",Oligophagous,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Aporia crataegi,Overw. stage,1500 m transect survey (Pollard walk) with a 5 m recording range on each side of the observer,Larva,,single observation,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,Aporia crataegi,Voltinism,,1,generations/year,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aporia crataegi,Habitat breadth,,3,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Aporia crataegi,number of used habitat subtypes,Calculation of the number of used habitat subtypes based on the Fauna Indicativa (FI) database.,5,count,single observation,,both,adult,,,,,,,,,,,
Occurrence,Araschnia levana,Mobility,Derived from the four-level habitat fidelity fuzzy variable of the Fauna Indicativa (FI) database.,2.5,score,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Araschnia levana,Larval diet,"Fauna Indicativa (FI) database (Klaiber et al., 2017a, 2017b)",Monophagous,,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Araschnia levana,Overw. stage,1500 m transect survey (Pollard walk) with a 5 m recording range on each side of the observer,Pupa,,single observation,,both,adult,,,,,,,,,,,
Plain Examples for HumanObservation,Araschnia levana,Voltinism,,2.5,generations/year,single observation,,both,adult,,,,,,,,,,,
Occurrence,Araschnia levana,Habitat breadth,,2,count,single observation,,both,adult,,,,,,,,,,,
