cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Boloria selene,Voltinism,1.05,1.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Aricia artaxerxes,Number of Subhabitats,2,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Polyommatus semiargus,Mobility,1.05,1.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Zygaena filipendulae,Number of Subhabitats,7,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Lasiommata maera,Voltinism,1.05,1.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Plebeius argus,Number of Subhabitats,3,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Melitaea didyma,Voltinism,1.05,1.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Zygaena loti,Overwintering stage,Larva,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thecla betulae,Number of Subhabitats,2,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Argynnis adippe,Larval diet,Narrowly Oligophagous,Narrowing oligophagous,,,moderate,predicted a different value for this trait
"species present, trait missing",Adscita statices,Overwintering stage,Larva,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Colias hyale,Overwintering stage,Larva,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Satyrium w-album,Overwintering stage,Egg,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lasiommata megera,Number of Subhabitats,4,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aricia eumedon,Overwintering stage,Larva,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hamearis lucina,Number of Habitats,3,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Pyrgus armoricanus,Larval diet,Narrowly Oligophagous,Narrowing oligophagous,,,moderate,predicted a different value for this trait
"species present, trait missing",Aricia agestis,Number of Subhabitats,3,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Coenonympha tullia,Number of Habitats,1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Colias alfacariensis,Overwintering stage,Larva,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lycaena tityrus,Number of Subhabitats,6,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Aricia agestis,Voltinism,2.05,2.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Issoria lathonia,Number of Habitats,3,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Gonepteryx rhamni,Number of Subhabitats,2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Satyrium pruni,Overwintering stage,Egg,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thymelicus lineola,Number of Subhabitats,7,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Argynnis paphia,Mobility,2.05,2.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Polyommatus icarus,Overwintering stage,Larva,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Boloria dia,Larval diet,Narrowly Oligophagous,Narrowing oligophagous,,,moderate,predicted a different value for this trait
"species present, trait missing",Melitaea aurelia,Number of Subhabitats,2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Leptidea sp.,Number of Subhabitats,5,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Boloria titania,Number of Subhabitats,3,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aporia crataegi,Number of Subhabitats,5,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pieris rapae,Number of Habitats,2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thymelicus sylvestris,Overwintering stage,Larva,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polyommatus daphnis,Number of Habitats,1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Zygaena trifolii,Number of Habitats,1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Maniola jurtina,Overwintering stage,Larva,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Melitaea britomartis,Number of Habitats,2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis populi,Overwintering stage,Larva,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Zygaena purpuralis,Larval diet,Narrowly Oligophagous,Narrowing oligophagous,,,moderate,predicted a different value for this trait
"species present, trait missing",Brenthis ino,Number of Subhabitats,3,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Celastrina argiolus,Number of Subhabitats,2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Spialia sertorius,Number of Subhabitats,3,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Boloria euphrosyne,Larval diet,Narrowly Oligophagous,Narrowing oligophagous,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Celastrina argiolus,Voltinism,2.05,2.5,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pyronia tithonus,Mobility,1.05,1.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Pieris napi,Number of Habitats,4,,,,moderate,the trait was not extracted for this species
