basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
,Vespula maculifrons,Trait Trait,,Thorax width,,-8.90***,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Trait Trait,,Thorax length,,-4.66***,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Trait Trait,,Third tergum length,,0.41,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Trait Trait,,Gaster length,,-0.34,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Trait Trait,,Mass,,2.40**,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Trait,,Thorax width,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Trait,,Thorax length,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Trait,,Third tergum length,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Trait,,Gaster length,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Trait,,Mass,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Thorax width,,,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Thorax length,,0.39,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Third tergum length,,0.26,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Gaster length,,0.23,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Mass,,0.09,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Thorax width,,0.65,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Thorax length,,,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Third tergum length,,0.14,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Gaster length,,0.09,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Mass,,0.09,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Thorax width,,0.42,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Thorax length,,0.47,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Third tergum length,,,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Gaster length,,0.42,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Mass,,0.28,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Thorax width,,0.45,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Thorax length,,0.45,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Third tergum length,,0.51,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Gaster length,,,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Mass,,0.62,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Thorax width,,0.40,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Thorax length,,0.36,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Third tergum length,,0.34,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Gaster length,,0.41,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Mass,,,,mode,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Trait Trait,,Thorax width,,7.83***,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Trait Trait,,Thorax length,,10.61***,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Trait Trait,,Third tergum length,,1.66,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Trait Trait,,Gaster length,,-1.72*,,female,adult,"worker, queen",,,,,,,,,,
,Vespula maculifrons,Trait Trait,,Mass,,-6.41***,,female,adult,"worker, queen",,,,,,,,,,
