cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Vespula maculifrons,Thorax width ,2.31 ± 0.24 ,,,,moderate,no value was predicted for this trait
"species+trait present, value differs",Vespula maculifrons,Thorax width ,3.61 ± 0.18 ,,,,moderate,no value was predicted for this trait
"species+trait present, value differs",Vespula maculifrons,Thorax length ,3.65 ± 0.37 ,0.39,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Vespula maculifrons,Thorax length ,5.49 ± 0.33,0.39,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Vespula maculifrons,Third tergum length ,1.66 ± 0.22 ,0.26,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Vespula maculifrons,Third tergum length ,2.82 ± 0.35 ,0.26,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Vespula maculifrons,Gaster length ,5.65 ± 0.77 ,0.23,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Vespula maculifrons,Gaster length ,9.72 ± 1.41 ,0.23,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Vespula maculifrons,Mass ,14.68 ± 3.16,0.09,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Vespula maculifrons,Mass ,88.09 ± 24.68,0.09,,,moderate,predicted a different value for this trait
