basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Pseudapis sp.,body length ± SE,,7.38±0.07,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pseudapis sp.,inter tegular distance ± SE,Measurement using a stereomicroscope (Olympus SZ61) and ocular micrometer scale.,1.49±0.04,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pseudapis sp.,foreleg ± SE,,3.79±0.02,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pseudapis sp.,midleg ± SE,,4.08±0.03,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pseudapis sp.,tongue length ± SE,,2.56±0.12,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Heriades sp.,body length ± SE,,5.57,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Heriades sp.,inter tegular distance ± SE,Measurement using a stereomicroscope (Olympus SZ61) and ocular micrometer scale.,1.35,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Heriades sp.,foreleg ± SE,,3.16,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Heriades sp.,midleg ± SE,,3.04,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Heriades sp.,tongue length ± SE,,3.37,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Braunsapis sp.,body length ± SE,,5.53±0.19,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Braunsapis sp.,inter tegular distance ± SE,Measurement using a stereomicroscope (Olympus SZ61) and ocular micrometer scale.,1.49±0.16,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Braunsapis sp.,foreleg ± SE,,3.69±0.39,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Braunsapis sp.,midleg ± SE,,3.16±0.32,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Braunsapis sp.,tongue length ± SE,,2.61±0.16,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus sp.1,body length ± SE,,7.74±0.16,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus sp.1,inter tegular distance ± SE,Measurement using a stereomicroscope (Olympus SZ61) and ocular micrometer scale.,1.7±0.07,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus sp.1,foreleg ± SE,,3.94±0.05,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus sp.1,midleg ± SE,,4.32±0.08,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus sp.1,tongue length ± SE,,3.29±0.07,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus sp.2,body length ± SE,,7.7,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus sp.2,inter tegular distance ± SE,Measurement using a stereomicroscope (Olympus SZ61) and ocular micrometer scale.,1.27,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus sp.2,foreleg ± SE,,4.12,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus sp.2,midleg ± SE,,4.57,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Halictus sp.2,tongue length ± SE,,4.2,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Steganomus sp.,body length ± SE,,8.06±0.02,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Steganomus sp.,inter tegular distance ± SE,Measurement using a stereomicroscope (Olympus SZ61) and ocular micrometer scale.,1.96±0.02,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Steganomus sp.,foreleg ± SE,,4.51±0.09,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Steganomus sp.,midleg ± SE,,4.87±0.06,mm,mean ± SE,,both,adult,,,,,,,,,,,
PreservedSpecimen,Steganomus sp.,tongue length ± SE,,3.18±0.35,mm,mean ± SE,,both,adult,,,,,,,,,,,
