cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Trigona sp.,Midleg Lengths,3.75±0.15,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Coelioxys sp.,Midleg Lengths,3.71,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Curvinomia sp.,Foreleg Lengths,5.35±0.37,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Halictus sp.2,Midleg Lengths,4.57,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thyreus sp.,Midleg Lengths,10.69±0.15,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lasioglossum sp.3,Midleg Lengths,3.48±0.12,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apis dorsata,Foreleg Lengths,9.82±0.08,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megachile sp.,Midleg Lengths,5.05,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Heriades sp.,Foreleg Lengths,3.16,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lasioglossum sp.2,Foreleg Lengths,4.72±0.33,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xylocopa sp.2,Midleg Lengths,8.11,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Amegilla sp.,Midleg Lengths,9.51±0.3,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ceratina sp.,Foreleg Lengths,3.76±0.11,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Coelioxys sp.,Foreleg Lengths,3.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Halictus sp.1,Foreleg Lengths,3.94±0.05,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Halictus sp.2,Foreleg Lengths,4.12,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xylocopa sp.1,Foreleg Lengths,15.98±0.05,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Steganomus sp.,Foreleg Lengths,4.51±0.09,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Thyreus sp.,Foreleg Lengths,8.7±0.12,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Braunsapis sp.,Midleg Lengths,3.16±0.32,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lasioglossum sp.3,Foreleg Lengths,3.32±0.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megachile bicolor,Midleg Lengths,8.19±0.12,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megachile sp.,Foreleg Lengths,6.07,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pseudapis sp.,Foreleg Lengths,3.79±0.02,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lasioglossum sp.5,Foreleg Lengths,2.98±0.08,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Amegilla sp.,Foreleg Lengths,8.33±0.18,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Trigona sp.,Foreleg Lengths,3.13±0.11,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Curvinomia sp.,Midleg Lengths,5.7±0.34,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Braunsapis sp.,Foreleg Lengths,3.69±0.39,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Apis dorsata,Midleg Lengths,9.18±0.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Megachile bicolor,Foreleg Lengths,9.71±0.51,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Halictus sp.1,Midleg Lengths,4.32±0.08,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xylocopa sp.2,Foreleg Lengths,7.07,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Xylocopa sp.1,Midleg Lengths,15.72±0.07,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Steganomus sp.,Midleg Lengths,4.87±0.06,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Heriades sp.,Midleg Lengths,3.04,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lasioglossum sp.2,Midleg Lengths,4.58±0.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pseudapis sp.,Midleg Lengths,4.08±0.03,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Ceratina sp.,Midleg Lengths,3.63±0.05,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lasioglossum sp.5,Midleg Lengths,3.2±0.08,,,,moderate,the trait was not extracted for this species
