basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Aenictus sp. cf parahuonicus,CTmax,,43.60,°C,mean ± SD,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Aenictus sp. cf parahuonicus,Weber s length,Measurement using a Leica M165c stereo microscope and Leica LAS V 4.0 software on individual ant workers/minors.,1.25,mm,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Aenictus sp. cf parahuonicus,relative mandible size,,0.52,,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Aenictus sp. cf parahuonicus,relative eye position,,NA,ratio,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Aenictus sp. cf parahuonicus,relative eye width,,NA,mm,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Aenictus sp. cf parahuonicus,relative scape length,,0.52,,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Aenictus sp. cf parahuonicus,relative hind femur,"Measurement of hind leg femur length (FL) followed by scaling/correction relative to body size (e.g., Weber's length)",0.77,unitless,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Aenictus parahuonicus,CTmax,,44.33,°C,mean ± SD,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Aenictus parahuonicus,Weber s length,Measurement using a Leica M165c stereo microscope and Leica LAS V 4.0 software on individual ant workers/minors.,1.21,mm,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Aenictus parahuonicus,relative mandible size,,0.49,,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Aenictus parahuonicus,relative eye position,,NA,ratio,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Aenictus parahuonicus,relative eye width,,NA,mm,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Aenictus parahuonicus,relative scape length,,0.49,,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Aenictus parahuonicus,relative hind femur,"Measurement of hind leg femur length (FL) followed by scaling/correction relative to body size (e.g., Weber's length)",0.90,unitless,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Anoplolepis gracilipes,CTmax,,48.60,°C,mean ± SD,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Anoplolepis gracilipes,Weber s length,Measurement using a Leica M165c stereo microscope and Leica LAS V 4.0 software on individual ant workers/minors.,1.71,mm,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Anoplolepis gracilipes,relative mandible size,,0.56,,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Anoplolepis gracilipes,relative eye position,,0.18,ratio,mean,,both,adult,,,,,,forest,,,,,
PreservedSpecimen,Anoplolepis gracilipes,relative eye width,,0.14,mm,mean,,both,adult,,,,,,forest,,,,,
