cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Tetramorium sp. 2 obesum group,Relative eye position,0.17,0.1,,,moderate,predicted a different value for this trait
"species present, trait missing",Anoplolepis gracilipes,Habitat,forest,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Anoplolepis gracilipes,Habitat,plantation,,,,moderate,the trait was not extracted for this species
"value present, extra GT copies not reproduced",Odontoponera denticulata,Relative scape length corrected by body size,0.53,0.53,,,minor,value is present; GT simply has more copies of it
"species present, trait missing",Carebara sp. 1,Critical Thermal maximum,45.90,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lepisiota sp. cf rothneyi,Critical Thermal maximum,55.33,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Stictoponera sp.,Relative hind femur length corrected by body size,0.69,0.6,,,moderate,predicted a different value for this trait
"species present, trait missing",Pheidole sp. 4,Weber’s length,0.94,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pheidole sp. 3,Critical Thermal maximum,45.30,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Monomorium sp. 1,Critical Thermal maximum,47.30,,,,moderate,the trait was not extracted for this species
"value present, extra GT copies not reproduced",Odontoponera denticulata,Relative mandible size,0.57,0.57,,,minor,value is present; GT simply has more copies of it
"species present, trait missing",Stictoponera sp.,Weber’s length,1.54,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euprenolepis sp. cf procera,Weber’s length,1.48,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Aenictus parahuonicus,Critical Thermal maximum,44.33,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nylanderia sp. 1,Weber’s length,0.56,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Camponotus sp. 1 brown,Critical Thermal maximum,48.40,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Stictoponera sp.,Relative scape length corrected by body size,0.54,0.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Anochetus graeffei,Critical Thermal maximum,44.71,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stictoponera sp. cf binghamii,Habitat,plantation,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Lepisiota sp. cf rothneyi,Relative eye width corrected by body size,0.23,0.2,,,moderate,predicted a different value for this trait
"species present, trait missing",Lophomyrmex bedoti,Weber’s length,0.96,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Stictoponera sp.,Relative mandible size,0.55,0.5,,,moderate,predicted a different value for this trait
"species present, trait missing",Pheidole sp. 1,Weber’s length,1.56,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Carebara sp. 1,Habitat,forest,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Lepisiota sp. cf rothneyi,Habitat,plantation,,,,moderate,the trait was not extracted for this species
