basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Aparatrigona isopterophila Paratrigona,Head width,,$2.17^{\text{i}}$,,mode,,both,adult,,,,,,,,,,,
LivingSpecimen,Aparatrigona isopterophila Paratrigona,Colony size,Direct counting of the average number of workers in the colonies.,$185^{\text{h}}$,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aparatrigona isopterophila Paratrigona,Diet breadth,,0.56,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aparatrigona isopterophila Paratrigona,Group foraging?,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aparatrigona isopterophila Paratrigona,Nests in ground?,,No,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aparatrigona isopterophila Paratrigona,Inquiline nesting?,Categorization based on reported instances (yes/no),Yes,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Aparatrigona isopterophila Paratrigona,Nests in man made structures?,,No,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Melipona costaricensis or panamica fasciata $^{cc}$,Head width,,"$4.01^{i,p,ee}$",,mode,,both,adult,,,,,,,,,,,
LivingSpecimen,Melipona costaricensis or panamica fasciata $^{cc}$,Colony size,Direct counting of the average number of workers in the colonies.,"$1092.84^{b,h,j,n,o,dd}$",,mode,,both,adult,,,,,,,,,,,
HumanObservation,Melipona costaricensis or panamica fasciata $^{cc}$,Diet breadth,,0.44,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Melipona costaricensis or panamica fasciata $^{cc}$,Group foraging?,,$No^k$,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Melipona costaricensis or panamica fasciata $^{cc}$,Nests in ground?,,No,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Melipona costaricensis or panamica fasciata $^{cc}$,Inquiline nesting?,Categorization based on reported instances (yes/no),No,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Melipona costaricensis or panamica fasciata $^{cc}$,Nests in man made structures?,,No,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Oxytrigona mellicolor sp. $^{i,w}$",Head width,,$2.7^{\text{i}}$,,mode,,both,adult,,,,,,,,,,,
LivingSpecimen,"Oxytrigona mellicolor sp. $^{i,w}$",Colony size,Direct counting of the average number of workers in the colonies.,$5442^{\text{h}}$,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Oxytrigona mellicolor sp. $^{i,w}$",Diet breadth,,,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Oxytrigona mellicolor sp. $^{i,w}$",Group foraging?,,$Yes^u$,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Oxytrigona mellicolor sp. $^{i,w}$",Nests in ground?,,No,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Oxytrigona mellicolor sp. $^{i,w}$",Inquiline nesting?,Categorization based on reported instances (yes/no),No,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Oxytrigona mellicolor sp. $^{i,w}$",Nests in man made structures?,,No,,mode,,both,adult,,,,,,,,,,,
