cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
species not in prediction,Trigonisca sp.,Body Size,1.2,,,0.00,severe,species not extracted at all
species not in prediction,Partamona orizabaensis,Diet breadth,0.37,,,0.00,severe,species not extracted at all
species not in prediction,Tetragona perangulata,Body Size,2.7,,,0.00,severe,species not extracted at all
species not in prediction,Trigona silvestriana,Colony size,7500,,,0.00,severe,species not extracted at all
species not in prediction,Tetragonisca angustula,Colony size,2715,,,0.00,severe,species not extracted at all
species not in prediction,Aparatrigona isopterophila,Colony size,185,,,0.00,severe,species not extracted at all
species not in prediction,Tetragonisca buchwaldi,Colony size,1376.25,,,0.00,severe,species not extracted at all
species not in prediction,Scaptotrigona pectoralis,Diet breadth,0.26,,,0.00,severe,species not extracted at all
species not in prediction,Melipona costaricensis or panamica,Body Size,4.01,,,0.00,severe,species not extracted at all
species not in prediction,Scaptotrigona pectoralis,Body Size,2.5,,,0.00,severe,species not extracted at all
species not in prediction,Trigona fulviventris,Diet breadth,0.43,,,0.00,severe,species not extracted at all
species not in prediction,Trigona corvina,Colony size,13.625,,,0.00,severe,species not extracted at all
species not in prediction,Partamona orizabaensis,Body Size,2.46,,,0.00,severe,species not extracted at all
species not in prediction,Tetragona ziegleri,Colony size,2647.75,,,0.00,severe,species not extracted at all
species not in prediction,Trigona silvestriana,Diet breadth,0.43,,,0.00,severe,species not extracted at all
species not in prediction,Plebeia frontalis,Colony size,1500,,,0.00,severe,species not extracted at all
species not in prediction,Tetragonisca angustula,Diet breadth,0.5,,,0.00,severe,species not extracted at all
species not in prediction,Paratrigona ornaticeps ,Colony size,1710,,,0.00,severe,species not extracted at all
species not in prediction,Aparatrigona isopterophila,Diet breadth,0.56,,,0.00,severe,species not extracted at all
species not in prediction,Ptilotrigona occidentalis,Body Size,3.055,,,0.00,severe,species not extracted at all
species not in prediction,Tetragonisca buchwaldi,Diet breadth,0.5,,,0.00,severe,species not extracted at all
species not in prediction,Trigona corvina,Diet breadth,0.43,,,0.00,severe,species not extracted at all
species not in prediction,Trigona fulviventris,Body Size,2.7,,,0.00,severe,species not extracted at all
species not in prediction,Tetragonisca angustula,Body Size,1.8,,,0.00,severe,species not extracted at all
species not in prediction,Paratrigona ornaticeps ,Diet breadth,0.56,,,0.00,severe,species not extracted at all
species not in prediction,Aparatrigona isopterophila,Body Size,2.17,,,0.00,severe,species not extracted at all
species not in prediction,Tetragona ziegleri,Diet breadth,0.53,,,0.00,severe,species not extracted at all
species not in prediction,Trigona silvestriana,Body Size,3.3,,,0.00,severe,species not extracted at all
species not in prediction,Oxytrigona mellicolor,Colony size,5442,,,0.00,severe,species not extracted at all
species not in prediction,Plebeia frontalis,Diet breadth,0.51,,,0.00,severe,species not extracted at all
species not in prediction,Plebeia jatiformis,Colony size,805,,,0.00,severe,species not extracted at all
species not in prediction,Tetragonisca buchwaldi,Body Size,1.9,,,0.00,severe,species not extracted at all
species not in prediction,Trigona corvina,Body Size,2.5,,,0.00,severe,species not extracted at all
species not in prediction,Tetragona ziegleri,Body Size,2.3,,,0.00,severe,species not extracted at all
species not in prediction,Plebeia frontalis,Body Size,1.8,,,0.00,severe,species not extracted at all
species not in prediction,Scaptotrigona subobscuripennis,Diet breadth,0.26,,,0.00,severe,species not extracted at all
species not in prediction,Paratrigona ornaticeps ,Body Size,1.795,,,0.00,severe,species not extracted at all
species not in prediction,Plebeia jatiformis,Diet breadth,0.51,,,0.00,severe,species not extracted at all
species not in prediction,Melipona costaricensis or panamica,Colony size,1092.84,,,0.00,severe,species not extracted at all
species not in prediction,Scaptotrigona pectoralis,Colony size,437,,,0.00,severe,species not extracted at all
species not in prediction,Scaptotrigona subobscuripennis,Body Size,2.6,,,0.00,severe,species not extracted at all
species not in prediction,Tetragona perangulata,Diet breadth,0.53,,,0.00,severe,species not extracted at all
species not in prediction,Partamona orizabaensis,Colony size,2950,,,0.00,severe,species not extracted at all
species not in prediction,Oxytrigona mellicolor,Body Size,2.7,,,0.00,severe,species not extracted at all
species not in prediction,Plebeia jatiformis,Body Size,1.5,,,0.00,severe,species not extracted at all
species not in prediction,Melipona costaricensis or panamica,Diet breadth,0.44,,,0.00,severe,species not extracted at all
species not in prediction,Trigona fulviventris,Colony size,9375,,,0.00,severe,species not extracted at all
