basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Most abundant species in urban parks in 2008,Larval diet,,polyphagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",multivoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Functional group,,Typical generalists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Larval diet,,polyphagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",multivoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Functional group,,Typical generalists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Larval diet,,polyphagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",multivoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Functional group,,Typical generalists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Larval diet,,polyphagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",univoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Functional group,,Selective generalists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Larval diet,,oligophagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",multivoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Functional group,,Rebound specialists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Larval diet,,polyphagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",multivoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in urban parks in 2008,Functional group,,Typical generalists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Larval diet,,* oligophagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",univoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Functional group,,Typical specialists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Larval diet,,* oligophagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",univoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Functional group,,Typical specialists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Larval diet,,* oligophagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",univoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Functional group,,Typical specialists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Larval diet,,oligophagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",multivoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Functional group,,Rebound specialists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Larval diet,,oligophagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",bivoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Functional group,,Typical specialists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Larval diet,,* oligophagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",univoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Most abundant species in calcareous massifs in 2008,Functional group,,Typical specialists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Pieris rapae,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",multivoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Pieris rapae,Larval diet,,polyphagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Pieris rapae,Functional group,,Typical generalists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Pieris rapae,Specialization rank,,typical specialist species,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Pieris rapae,Species occurrence,"Nestedness analysis using metrics BR, NODF, and T on a presence-absence matrix",15,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Aricia agestis,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",multivoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Aricia agestis,Larval diet,,polyphagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Aricia agestis,Functional group,,Typical generalists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Aricia agestis,Specialization rank,,typical specialist species,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Aricia agestis,Species occurrence,"Nestedness analysis using metrics BR, NODF, and T on a presence-absence matrix",14,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Pararge aegeria,Voltinism,"Functional classification based on resource utilization patterns (Kitahara and Fujii 1994, 1997)",multivoltine,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Pararge aegeria,Larval diet,,polyphagous,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Pararge aegeria,Functional group,,Typical generalists,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Pararge aegeria,Specialization rank,,typical specialist species,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
HumanObservation,Pararge aegeria,Species occurrence,"Nestedness analysis using metrics BR, NODF, and T on a presence-absence matrix",14,count,"BR, NODF, T",,both,adult,,,,,,,,,,,
