cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Thymelicus acteon,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Thymelicus acteon,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Libythea celtis,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Libythea celtis,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pyrgus cirsii,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pyrgus cirsii,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Gonopteryx cleopatra,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Gonopteryx cleopatra,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Melanargia galathea,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Melanargia galathea,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Charaxes jasius,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Charaxes jasius,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Melitaea didyma,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Melitaea didyma,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Plebejus argus,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Plebejus argus,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Vanessa atalanta,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Vanessa atalanta,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Polygonia c-album,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Polygonia c-album,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Anthocharis cardamines,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Anthocharis cardamines,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pseudophilotes baton,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pseudophilotes baton,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Celastrina argiolus,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Celastrina argiolus,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Euchloe crameri,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Euchloe crameri,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Iphiclides podalirius,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Iphiclides podalirius,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pyronia bathseba,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pyronia bathseba,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Satyrium esculi,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Satyrium esculi,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Brintesia circe,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Brintesia circe,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Coenonympha dorus,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Coenonympha dorus,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pyronia cecilia,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pyronia cecilia,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Limenitis reducta,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Limenitis reducta,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Everes argiades,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Everes argiades,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Maniola jurtina,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Maniola jurtina,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Argynnis paphia,Voltinism,univoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Argynnis paphia,Voltinism,bivoltine,uni- or bivoltine,,,moderate,predicted a different value for this trait
