basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
,Pheidole nodus,Unique Volume,,20.1,,=0.048,,both,adult,,,,,,Baita,,,,,
,Pheidole nodus,Unique Volume,,0.9,,<0.001,,both,adult,,,,,,Chenshou,,,,,
,Pheidole nodus,Unique Volume,,2.5,,<0.001,,both,adult,,,,,,Huohua,,,,,
,Pheidole nodus,Unique Volume,,28.6,,<0.001,,both,adult,,,,,,Nanhu,,,,,
,Pheidole nodus,Unique Volume,,11.8,,<0.001,,both,adult,,,,,,Qixiang,,,,,
,Pheidole nodus,Unique Volume,,2.7,,<0.001,,both,adult,,,,,,Shengtai,,,,,
,Pheidole nodus,Unique Volume,,13.1,,<0.001,,both,adult,,,,,,Xishan,,,,,
,Pheidole nodus,Baita,,,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Chenshou,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Huohua,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Nanhu,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Qixiang,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Shengtai,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Xishan,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Baita,,99.5,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Chenshou,,-,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Huohua,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Nanhu,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Qixiang,,0.299,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Shengtai,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Xishan,,0.067,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Baita,,95.5,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Chenshou,,97.6,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Huohua,,-,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Nanhu,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Qixiang,,0.858,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Shengtai,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Xishan,,0.016,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Baita,,97.8,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Chenshou,,93.6,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Huohua,,97.2,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Nanhu,,-,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Qixiang,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Shengtai,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Xishan,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Baita,,92.4,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Chenshou,,98.9,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Huohua,,97.9,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Nanhu,,97.9,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Qixiang,,-,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Shengtai,,0.038,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Xishan,,<0.001,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Baita,,97.3,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Chenshou,,86.6,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Huohua,,95.7,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Nanhu,,90.9,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Qixiang,,97.5,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Shengtai,,-,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Xishan,,0.003,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Baita,,91.9,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Chenshou,,95.4,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Huohua,,93.4,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Nanhu,,93.3,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Qixiang,,96.0,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Shengtai,,89.6,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,Xishan,,-,,mode,,both,adult,,,,,,,,,,,
,Pheidole nodus,group,,1,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Head width,,0.70772,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Mandible length,,0.19779,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Eye width,,0.1344,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Scape length,,1.0205,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Weber's length,,1.03735,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Hindleg length,,2.13864,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,group,,1,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Head width,,0.75871,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Mandible length,,0.19574000000000003,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Eye width,,0.14263,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Scape length,,1.01108,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Weber's length,,1.10584,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Hindleg length,,1.8772300000000002,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,group,,1,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Head width,,0.7237699999999999,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Mandible length,,0.15739,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Eye width,,0.13265000000000002,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Scape length,,0.98516,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Weber's length,,1.03853,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Hindleg length,,2.05767,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,group,,1,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Head width,,0.6728400000000001,,mode,,both,adult,,,,,,BT,,,,,
,Pheidole nodus,Mandible length,,0.17187999999999998,,mode,,both,adult,,,,,,BT,,,,,
