cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Pheidole nodus,Head width,0.72377,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.67284,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.72671,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.7388,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.71547,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.771,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.7057,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.64757,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.67846,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.63779,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.73135,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.69307,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.69578,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.70615,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.68981,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.70437,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.67906,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.7316,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.70326,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.74013,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.77324,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.75108,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.77707,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.79734,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.73864,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.74132,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.85632,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.70898,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.73757,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.71323,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.74728,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.71267,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.69748,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.68177,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.64624,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.76525,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.72629,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.7626,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.69496,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.68374,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.69046,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.66784,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.70598,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.67024,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.66576,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.73876,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.70593,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Head width,0.68701,0.70772,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Eye width,0.13265,0.1344,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Eye width,0.13556,0.1344,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Eye width,0.12807,0.1344,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Eye width,0.13534,0.1344,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Eye width,0.13842,0.1344,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Eye width,0.11965,0.1344,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Eye width,0.12058,0.1344,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Eye width,0.11993,0.1344,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Eye width,0.12151,0.1344,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pheidole nodus,Eye width,0.12473,0.1344,,,moderate,predicted a different value for this trait
