basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Papilio canadensis P..canadensis,wingspan,As reported in Burke et al. 2011,71.5,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Papilio canadensis P..canadensis,total abundance,,12,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Papilio canadensis P..canadensis,prevalence,Occurrence data derived from repeated full-island surveys (40 min per ha per survey),6,%,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Papilio canadensis P..canadensis,total hostplant occurrences,,28,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Papilio canadensis P..canadensis,occurences without hostplant,,0,count,residual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Colias philodice C..philodice,wingspan,As reported in Burke et al. 2011,43,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Colias philodice C..philodice,total abundance,,1,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Colias philodice C..philodice,prevalence,Occurrence data derived from repeated full-island surveys (40 min per ha per survey),1,%,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Colias philodice C..philodice,total hostplant occurrences,,11,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Colias philodice C..philodice,occurences without hostplant,,0,count,residual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Colias interior C..interior,wingspan,As reported in Burke et al. 2011,41,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Colias interior C..interior,total abundance,,15,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Colias interior C..interior,prevalence,Occurrence data derived from repeated full-island surveys (40 min per ha per survey),3,%,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Colias interior C..interior,total hostplant occurrences,,17,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Colias interior C..interior,occurences without hostplant,,0,count,residual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pieris oleracea P..oleracea,wingspan,As reported in Burke et al. 2011,41,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Pieris oleracea P..oleracea,total abundance,,132,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Pieris oleracea P..oleracea,prevalence,Occurrence data derived from repeated full-island surveys (40 min per ha per survey),13,%,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Pieris oleracea P..oleracea,total hostplant occurrences,,26,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Pieris oleracea P..oleracea,occurences without hostplant,,0,count,residual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Pieris rapae P..rapae,wingspan,As reported in Burke et al. 2011,39.5,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Pieris rapae P..rapae,total abundance,,153,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Pieris rapae P..rapae,prevalence,Occurrence data derived from repeated full-island surveys (40 min per ha per survey),24,%,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Pieris rapae P..rapae,total hostplant occurrences,,26,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Pieris rapae P..rapae,occurences without hostplant,,1,count,residual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Feniseca tarquinius F..tarquinius,wingspan,As reported in Burke et al. 2011,27.5,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Feniseca tarquinius F..tarquinius,total abundance,,1,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Feniseca tarquinius F..tarquinius,prevalence,Occurrence data derived from repeated full-island surveys (40 min per ha per survey),1,%,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Feniseca tarquinius F..tarquinius,total hostplant occurrences,,NA,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Feniseca tarquinius F..tarquinius,occurences without hostplant,,NA,count,residual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Satyrium titus S..titus,wingspan,As reported in Burke et al. 2011,28,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Satyrium titus S..titus,total abundance,,7,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Satyrium titus S..titus,prevalence,Occurrence data derived from repeated full-island surveys (40 min per ha per survey),2,%,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Satyrium titus S..titus,total hostplant occurrences,,26,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Satyrium titus S..titus,occurences without hostplant,,0,count,residual,,both,adult,,,,,,,,,,,
PreservedSpecimen,Satyrium liparops S..liparops,wingspan,As reported in Burke et al. 2011,24.5,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Satyrium liparops S..liparops,total abundance,,15,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Satyrium liparops S..liparops,prevalence,Occurrence data derived from repeated full-island surveys (40 min per ha per survey),4,%,single observation,,both,adult,,,,,,,,,,,
