cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Limenitis arthemis,larval host plant,Betula papyrifera,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis arthemis,larval host plant,Populus tremuloides,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis arthemis,larval host plant,Salix amygdaloides,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis arthemis,larval host plant,Salix bebbiana,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis arthemis,larval host plant,Salix discolor,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis arthemis,larval host plant,Salix eriocephala,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis arthemis,larval host plant,Salix humilis,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis arthemis,larval host plant,Salix interior,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis arthemis,larval host plant,Salix petiolaris,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis arthemis,larval host plant,Salix planifolia,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis arthemis,larval host plant,Salix serissima,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis arthemis,larval host plant,Salix sp. 2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limenitis arthemis,larval host plant,Salix sp. 5,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Colias interior,larval host plant,Vaccinium angustifolium,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Colias interior,larval host plant,Vaccinium caespitosum,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Colias interior,larval host plant,Vaccinium myrtilloides,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pieris oleracea,larval host plant,Barbarea orthoceras,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pieris oleracea,larval host plant,Boechera grahamii,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pieris oleracea,larval host plant,Boechera stricta,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pieris oleracea,larval host plant,Cardamine parviflora,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pieris oleracea,larval host plant,Cardamine pensylvanica,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pieris oleracea,larval host plant,Erysimum cheiranthoides,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pieris oleracea,larval host plant,Rorippa palustris,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex aquatilis,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex atherodes,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex backii,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex brunnescens,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex intumescens,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex lasiocarpa,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex peckii,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex pellita,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex pensylvanica,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex siccata,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex sp. 10,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex sp. 11,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex sp. 11,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex sp. 14,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex sp. 15,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex sp. 17,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex sp. 4,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex sp. 6,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex sp. 8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex stricta,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Euphyes dion,larval host plant,Carex trisperma,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Agrostis scabra,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Alopecurus aequalis,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Anthoxanthum hirtum,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Bromus ciliatus,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Calamagrostis canadensis,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Cinna latifolia,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Danthonia spicata,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Dichanthelium acuminatum,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Echinochloa walteri,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Elymus trachycaulis,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Glyceria borealis,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Muhlenbergia sylvatica,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Oryzopsis asperifolia,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Panicum capillare,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Phalaris arundinaceae,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Phragmites australis,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Piptatherum pungens,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Poa glauca,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Poa inteior,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polites themistocles,larval host plant,Poa palustris,,,,moderate,the trait was not extracted for this species
