basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,sericeus,Body length,Measurement of body length on collected bee specimens,10.00,mm,single observation,,both,adult,,,,,,,,,,,
Occurrence,sericeus,Sociality,,Solitary,mm,single observation,,both,adult,,,,,,,,,,,
Occurrence,sericeus,Nest location,,Belowground,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,sericeus,Lecty,,Polylectic,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,virescens,Body length,Measurement of body length on collected bee specimens,11.00,mm,single observation,,both,adult,,,,,,,,,,,
Occurrence,virescens,Sociality,,Solitary,mm,single observation,,both,adult,,,,,,,,,,,
Occurrence,virescens,Nest location,,Belowground,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,virescens,Lecty,,Polylectic,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,commodaSmith,Body length,Measurement of body length on collected bee specimens,11.00,mm,single observation,,both,adult,,,,,,,,,,,
Occurrence,commodaSmith,Sociality,,Solitary,mm,single observation,,both,adult,,,,,,,,,,,
Occurrence,commodaSmith,Nest location,,Belowground,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,commodaSmith,Lecty,,Polylectic,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,cressoniiRobertson,Body length,Measurement of body length on collected bee specimens,11.00,mm,single observation,,both,adult,,,,,,,,,,,
Occurrence,cressoniiRobertson,Sociality,,Solitary,mm,single observation,,both,adult,,,,,,,,,,,
Occurrence,cressoniiRobertson,Nest location,,Belowground,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,cressoniiRobertson,Lecty,,Polylectic,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,imitatrixCresson,Body length,Measurement of body length on collected bee specimens,10.00,mm,single observation,,both,adult,,,,,,,,,,,
Occurrence,imitatrixCresson,Sociality,,Solitary,mm,single observation,,both,adult,,,,,,,,,,,
Occurrence,imitatrixCresson,Nest location,,Belowground,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,imitatrixCresson,Lecty,,Polylectic,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,robertsoniiDalla Torre,Body length,Measurement of body length on collected bee specimens,9.00,mm,single observation,,both,adult,,,,,,,,,,,
Occurrence,robertsoniiDalla Torre,Sociality,,Solitary,mm,single observation,,both,adult,,,,,,,,,,,
Occurrence,robertsoniiDalla Torre,Nest location,,Belowground,mm,single observation,,both,adult,,,,,,,,,,,
HumanObservation,robertsoniiDalla Torre,Lecty,,Polylectic,mm,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,wilkella,Body length,Measurement of body length on collected bee specimens,11.00,mm,single observation,,both,adult,,,,,,,,,,,
Occurrence,wilkella,Sociality,,Solitary,mm,single observation,,both,adult,,,,,,,,,,,
Occurrence,wilkella,Nest location,,Belowground,mm,single observation,,both,adult,,,,,,,,,,,
