cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
species not in prediction,Lasioglossumii,Nest location,Aboveground,,,0.52,severe,species not extracted at all
species not in prediction,Bombus auricomus,Body length,19.00,,auricomus,0.72,severe,species not extracted at all
species not in prediction,Lasioglossum coriaceum,Lecty,Polylectic,,coriaceum,0.58,severe,species not extracted at all
species not in prediction,Lasioglossum subviridatum,Sociality,Social,,subviridatum,0.65,severe,species not extracted at all
species not in prediction,Bombus bimaculatus,Sociality,Social,,bimaculatus,0.76,severe,species not extracted at all
species not in prediction,Agapostemon virescens,Body length,11.00,,virescens,0.60,severe,species not extracted at all
species not in prediction,Lasioglossum versatum,Sociality,Social,,versatum,0.55,severe,species not extracted at all
species not in prediction,Ceratina dupla,Body length,7.00,,,0.45,severe,species not extracted at all
species not in prediction,Lasioglossum cinctipes,Body length,8.00,,cinctipes,0.58,severe,species not extracted at all
species not in prediction,Melissodes comptoides,Body length,12.75,,comptoidesRobertson,0.65,severe,species not extracted at all
species not in prediction,Heriades carinata,Sociality,Solitary,,carinataCresson,0.69,severe,species not extracted at all
species not in prediction,Anthophora abrupta,Lecty,Polylectic,,abruptaSay,0.57,severe,species not extracted at all
species not in prediction,Lasioglossum coeruleum,Body length,6.18,,coeruleum,0.58,severe,species not extracted at all
species not in prediction,Ceratina mikmaqi,Nest location,Aboveground,,,0.42,severe,species not extracted at all
species not in prediction,Ceratina strenua,Lecty,Polylectic,,carinataCresson,0.58,severe,species not extracted at all
species not in prediction,Lasioglossum imitatum,Sociality,Social,,imitatum,0.55,severe,species not extracted at all
species not in prediction,Andrenaii,Nest location,Belowground,,andreniformisSmith,0.59,severe,species not extracted at all
species not in prediction,Andrenaii,Nest location,Belowground,,andreniformisSmith,0.59,severe,species not extracted at all
species not in prediction,Lasioglossum obscurum,Lecty,Polylectic,,obscurum,0.55,severe,species not extracted at all
species not in prediction,Heriades variolosa,Body length,6.00,,variolosa,0.67,severe,species not extracted at all
species not in prediction,Lasioglossum birkmanni,Body length,6.00,,birkmanni,0.58,severe,species not extracted at all
species not in prediction,Andrena imitatrix,Lecty,Polylectic,,andreniformisSmith,0.57,severe,species not extracted at all
species not in prediction,Agapostemon sericeus,Lecty,Polylectic,,sericeus,0.57,severe,species not extracted at all
species not in prediction,Anthophora terminalis,Body length,12.25,,,0.53,severe,species not extracted at all
species not in prediction,Hoplitis spoliata,Body length,11.00,,spoliata,0.64,severe,species not extracted at all
species not in prediction,Melissodes bimaculatus,Body length,14.00,,bimaculatusCresson,0.75,severe,species not extracted at all
species not in prediction,Lasioglossumii,Lecty,Polylectic,,,0.52,severe,species not extracted at all
species not in prediction,Melissodes trinodis,Nest location,Belowground,,,0.44,severe,species not extracted at all
species not in prediction,Melissodes desponsus,Lecty,Oligolectic,,desponsusSmith,0.65,severe,species not extracted at all
species not in prediction,Agapostemon sericeus,Nest location,Belowground,,sericeus,0.57,severe,species not extracted at all
species not in prediction,Lasioglossum subviridatum,Body length,5.28,,subviridatum,0.65,severe,species not extracted at all
species not in prediction,Bombus auricomus,Nest location,Belowground,,auricomus,0.72,severe,species not extracted at all
species not in prediction,Hoplitis pilosifrons,Body length,7.50,,pilosifrons,0.71,severe,species not extracted at all
species not in prediction,Bombus bimaculatus,Body length,13.50,,bimaculatus,0.76,severe,species not extracted at all
species not in prediction,Augochloropsis metallica,Body length,9.00,,,0.55,severe,species not extracted at all
species not in prediction,Lasioglossum versatum,Body length,5.92,,versatum,0.55,severe,species not extracted at all
species not in prediction,Ceratina dupla,Nest location,Aboveground,,,0.45,severe,species not extracted at all
species not in prediction,Lasioglossum cinctipes,Nest location,Belowground,,cinctipes,0.58,severe,species not extracted at all
species not in prediction,Heriades carinata,Body length,7.00,,carinataCresson,0.69,severe,species not extracted at all
species not in prediction,Melissodes comptoides,Nest location,Belowground,,comptoidesRobertson,0.65,severe,species not extracted at all
species not in prediction,Bombus griseocollis,Lecty,Polylectic,,griseocollis,0.77,severe,species not extracted at all
species not in prediction,Lasioglossum imitatum,Body length,4.18,,imitatum,0.55,severe,species not extracted at all
species not in prediction,Lasioglossum coeruleum,Nest location,Aboveground,,coeruleum,0.58,severe,species not extracted at all
species not in prediction,Lasioglossum timothyi,Nest location,Belowground,,timothyi Gibbs,0.57,severe,species not extracted at all
species not in prediction,Heriades variolosa,Nest location,Aboveground,,variolosa,0.67,severe,species not extracted at all
species not in prediction,Lasioglossum birkmanni,Nest location,Belowground,,birkmanni,0.58,severe,species not extracted at all
species not in prediction,Lasioglossum smilacinae,Sociality,Social,,smilacinae,0.61,severe,species not extracted at all
species not in prediction,Hoplitis producta,Sociality,Solitary,,producta,0.64,severe,species not extracted at all
species not in prediction,Ceratina calcarata,Lecty,Polylectic,,calcarataRobertson,0.72,severe,species not extracted at all
species not in prediction,Melissodes trinodis,Lecty,Oligolectic,,,0.44,severe,species not extracted at all
species not in prediction,Hoplitis spoliata,Nest location,Aboveground,,spoliata,0.64,severe,species not extracted at all
species not in prediction,Apis mellifera,Sociality,Social,,melliferaL.,0.75,severe,species not extracted at all
species not in prediction,Ceratina mikmaqi,Sociality,Solitary,,,0.42,severe,species not extracted at all
species not in prediction,Andrenaii,Sociality,Solitary,,andreniformisSmith,0.59,severe,species not extracted at all
species not in prediction,Andrenaii,Sociality,Solitary,,andreniformisSmith,0.59,severe,species not extracted at all
species not in prediction,Lasioglossum cattellae,Sociality,Social,,cattellae,0.58,severe,species not extracted at all
species not in prediction,Lasioglossum truncatum,Sociality,Social,,truncatum,0.58,severe,species not extracted at all
species not in prediction,Agapostemon virescens,Lecty,Polylectic,,virescens,0.60,severe,species not extracted at all
species not in prediction,Hoplitis pilosifrons,Nest location,Aboveground,,pilosifrons,0.71,severe,species not extracted at all
species not in prediction,Megachile mendica,Sociality,Solitary,,,0.54,severe,species not extracted at all
species not in prediction,Augochloropsis metallica,Nest location,Belowground,,,0.55,severe,species not extracted at all
species not in prediction,Lasioglossum versatum,Nest location,Belowground,,versatum,0.55,severe,species not extracted at all
species not in prediction,Lasioglossum cinctipes,Lecty,Polylectic,,cinctipes,0.58,severe,species not extracted at all
species not in prediction,Lasioglossum weemsi,Sociality,Social,,,0.48,severe,species not extracted at all
species not in prediction,Melissodes agilis,Nest location,Belowground,,agilisCresson,0.67,severe,species not extracted at all
species not in prediction,Heriades variolosa,Lecty,Polylectic,,variolosa,0.67,severe,species not extracted at all
