basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Allograpta obliqua,Total number of individuals,"Pan traps (white, yellow, and blue standard 400-ml pan traps filled with soapy water) deployed along linear transects.",3,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Allograpta obliqua,Functional group,,Insectivores,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Anasimyia bilinearis,Total number of individuals,"Pan traps (white, yellow, and blue standard 400-ml pan traps filled with soapy water) deployed along linear transects.",2,count,single observation,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Anasimyia bilinearis,Functional group,,Aquatic saprophagous,count,single observation,,both,adult,,,,,,2,,,,,
PreservedSpecimen,"Brachyopa vacua Osten Sacken, 1875",Total number of individuals,"Pan traps (white, yellow, and blue standard 400-ml pan traps filled with soapy water) deployed along linear transects.",1,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,"Brachyopa vacua Osten Sacken, 1875",Functional group,,Terrestrial saprophagous,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Chalcosyrphus nemorum,Total number of individuals,"Pan traps (white, yellow, and blue standard 400-ml pan traps filled with soapy water) deployed along linear transects.",1,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Chalcosyrphus nemorum,Functional group,,Terrestrial saprophagous,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,"Chrysotoxum plumeum Johnson, 1924",Total number of individuals,"Pan traps (white, yellow, and blue standard 400-ml pan traps filled with soapy water) deployed along linear transects.",3,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,"Chrysotoxum plumeum Johnson, 1924",Functional group,,Insectivores,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,"Didea fuscipes Loew, 1863",Total number of individuals,"Pan traps (white, yellow, and blue standard 400-ml pan traps filled with soapy water) deployed along linear transects.",1,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,"Didea fuscipes Loew, 1863",Functional group,,Insectivores,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Epistrophe nitidicollis,Total number of individuals,"Pan traps (white, yellow, and blue standard 400-ml pan traps filled with soapy water) deployed along linear transects.",10,count,single observation,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Epistrophe nitidicollis,Functional group,,Insectivores,count,single observation,,both,adult,,,,,,2,,,,,
PreservedSpecimen,Eristalis anthophorina,Total number of individuals,"Pan traps (white, yellow, and blue standard 400-ml pan traps filled with soapy water) deployed along linear transects.",1,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Eristalis anthophorina,Functional group,,Aquatic saprophagous,count,single observation,,both,adult,,,,,,0,,,,,
PreservedSpecimen,Eristalis arbustorum,Total number of individuals,"Pan traps (white, yellow, and blue standard 400-ml pan traps filled with soapy water) deployed along linear transects.",19,count,single observation,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Eristalis arbustorum,Functional group,,Aquatic saprophagous,count,single observation,,both,adult,,,,,,1,,,,,
PreservedSpecimen,Eristalis dimidiata,Total number of individuals,"Pan traps (white, yellow, and blue standard 400-ml pan traps filled with soapy water) deployed along linear transects.",5,count,single observation,,both,adult,,,,,,0,,,,,
