cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Pelecinobaccha costata (Say 1829),,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Sericomyia bifasciata Williston, 1887",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eumerus sp.,,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Eristalis transversa (Wiedemann, 1830)",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Somula decora Macquart, 1847",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Toxomerus geminatus (Say, 1823)",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Syrphus knabi Shannon, 1916",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Mallota bautias (Walker, 1849)",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pipiza sp.,,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Spilomyia sayi (Goot, 1964)",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Rhingia nasica Say, 1823",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Syritta pipiens (Linnaeus, 1758)",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Eupeodes americanus (Wiedemann, 1830)",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Eristalis arbustorum (Linnaeus, 1758)",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Chrysotoxum plumeum Johnson, 1924",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Xylota subfasciata Loew, 1866",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Xylota segnis (Linnaeus, 1758)",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Temnostoma barberi Curran 1939,,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Temnostoma excentrica (Harris, 1841)",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Syrphus ribesii Linnaeus,,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Spilomyia longicornis Loew, 1872",,Montreal metropolitan area,,,,moderate,the trait was not extracted for this species
