basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Ants,Variables,,Species richness,,Species richness,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,proportion,,0.4121,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,Euclidean nearest neighbor distance,,0.0748,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,mean fractal dimenson,,0.0012,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,Functional richness,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,proportion,,0.2701,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,Euclidean nearest neighbor distance,,0.2778,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,mean fractal dimenson,,0.0972,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,Community composition NMDS1,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,proportion,,0.3537,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,Euclidean nearest neighbor distance,,0.2993,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,mean fractal dimenson,,<0.0001,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,Community composition NMDS2,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,proportion,,0.2687,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,Euclidean nearest neighbor distance,,0.2110,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ants,Variables,,mean fractal dimenson,,0.0056,,both,adult,,,,,,,,,,,
PreservedSpecimen,Spiders,Variables,,Species richness,,Species richness,,both,adult,,,,,,,,,,,
PreservedSpecimen,Spiders,Variables,,proportion,,0.0002,,both,adult,,,,,,,,,,,
PreservedSpecimen,Spiders,Variables,,Euclidean nearest neighbor distance,,0.0050,,both,adult,,,,,,,,,,,
PreservedSpecimen,Spiders,Variables,,mean fractal dimenson,,0.0391,,both,adult,,,,,,,,,,,
PreservedSpecimen,Spiders,Variables,,Functional richness,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Spiders,Variables,,proportion,,0.0665,,both,adult,,,,,,,,,,,
PreservedSpecimen,Spiders,Variables,,Euclidean nearest neighbor distance,,0.0095,,both,adult,,,,,,,,,,,
PreservedSpecimen,Spiders,Variables,,mean fractal dimenson,,0.0399,,both,adult,,,,,,,,,,,
PreservedSpecimen,Spiders,Variables,,Community composition NMDS1,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Spiders,Variables,,proportion,,0.5778,,both,adult,,,,,,,,,,,
