cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
species not in prediction,Pheidole diligens,Functional Groups,Generalized Myrmicines,,Pheidole sp.4,0.60,severe,species not extracted at all
species not in prediction,Pheidole (grupo diligens) sp.29,Functional Groups,Generalized Myrmicines,,Pheidole sp.4,0.57,severe,species not extracted at all
species not in prediction,Anochetus targionii,Functional Groups,Small-sized hypogaeic generalist foragers,,,0.52,severe,species not extracted at all
species not in prediction,Neoponera magnifica,Functional Groups,Large-sized epigaeic generalist predators,,,0.34,severe,species not extracted at all
species not in prediction,Mycocepurus smithii,Functional Groups,"Leaf cutters, fungus growersG",,,0.50,severe,species not extracted at all
species not in prediction,Pheidole (grupo flavens) sp.10,Functional Groups,Small-sized hypogaeic generalist foragers,,Pheidole sp.4,0.59,severe,species not extracted at all
species not in prediction,Camponotus melanoticus,Functional Groups,Dominant arboreal ants associated with carbohydrate-rich resources,,,0.43,severe,species not extracted at all
species not in prediction,Atta opaciceps,Functional Groups,"Leaf cutters, fungus growers",,Azteca ovaticeps,0.73,severe,species not extracted at all
species not in prediction,Pheidole (grupo fallax) sp.5,Functional Groups,Generalized Myrmicines,,Pheidole sp.4,0.62,severe,species not extracted at all
species not in prediction,Sericomyrmex sp.2,Functional Groups,"Leaf cutters, fungus growersG",,Dorymyrmex sp.1,0.69,severe,species not extracted at all
species not in prediction,Pheidole (complexo flavens) sp.2,Functional Groups,Small-sized hypogaeic generalist foragers,,Pheidole sp.4,0.56,severe,species not extracted at all
species not in prediction,Pheidole (grupo fallax) sp.13,Functional Groups,Generalized Myrmicines,,Pheidole sp.4,0.60,severe,species not extracted at all
species not in prediction,Camponotus sexguttatus,Functional Groups,Dominant arboreal ants associated with carbohydrate-rich resources,,,0.43,severe,species not extracted at all
species not in prediction,Pheidole (grupo diligens) sp.32,Functional Groups,Generalized Myrmicines,,Pheidole sp.4,0.57,severe,species not extracted at all
species not in prediction,Pheidole (grupo diligens) sp.28,Functional Groups,Generalized Myrmicines,,Pheidole sp.4,0.57,severe,species not extracted at all
species not in prediction,Rasopone ferruginea,Functional Groups,Medium-sized hypogaeic generalist predators,,,0.38,severe,species not extracted at all
species not in prediction,Atta cephalotes,Functional Groups,"Leaf cutters, fungus growers",,,0.43,severe,species not extracted at all
species not in prediction,Pheidole midas,Functional Groups,Small-sized hypogaeic generalist foragers,,Pheidole sp.4,0.67,severe,species not extracted at all
species not in prediction,Odontomachus bauri,Functional Groups,Large-sized epigaeic generalist predators,,,0.39,severe,species not extracted at all
species not in prediction,Wasmannia rochai,Functional Groups,Generalized Myrmicines,,,0.39,severe,species not extracted at all
species not in prediction,Pheidole (grupo diligens) sp.8,Functional Groups,Generalized Myrmicines,,Pheidole sp.4,0.59,severe,species not extracted at all
species not in prediction,Camponotus senex,Functional Groups,Dominant arboreal ants associated with carbohydrate-rich resources,,,0.50,severe,species not extracted at all
species not in prediction,Camponotus trapezoideus,Functional Groups,Dominant arboreal ants associated with carbohydrate-rich resources,,,0.42,severe,species not extracted at all
species not in prediction,Cephalotes umbraculatus,Functional Groups,Pollen-feeding arboreal ants,,,0.43,severe,species not extracted at all
species not in prediction,Pseudomyrmex (grupo pallidus) sp.1,Functional Groups,Arboreal predadors,,Dorymyrmex sp.1,0.55,severe,species not extracted at all
species not in prediction,Strumigenys conspersa,Functional Groups,Dacetini predators with kinetic mandibles,,,0.44,severe,species not extracted at all
species not in prediction,Strumigenys subedentata,Functional Groups,Dacetini predators with kinetic mandibles,,,0.42,severe,species not extracted at all
species not in prediction,Pseudomyrmex oculatus,Functional Groups,Arboreal predadors,,,0.50,severe,species not extracted at all
species not in prediction,Cardiocondyla obscurior,Functional Groups,Small-sized epigaeic generalist foragers,,,0.30,severe,species not extracted at all
species not in prediction,Crematogaster sp.1,Functional Groups,Dominant arboreal ants associated with carbohydrate-rich resources,,Azteca sp.1,0.55,severe,species not extracted at all
species not in prediction,Anochetus simoni,Functional Groups,Small-sized hypogaeic generalist foragers,,,0.54,severe,species not extracted at all
species not in prediction,Pheidole (grupo tristis) sp.14,Functional Groups,Generalized Myrmicines,,Pheidole sp.4,0.63,severe,species not extracted at all
species not in prediction,Pseudomyrmex (grupo pallidus) sp.4,Functional Groups,Arboreal predadors,,,0.51,severe,species not extracted at all
species not in prediction,Rogeria foreli,Functional Groups,Small-sized hypogaeic generalist foragers,,,0.36,severe,species not extracted at all
species not in prediction,Gnamptogenys striatula,Functional Groups,Medium-sized epigaeic generalist predators,,,0.33,severe,species not extracted at all
species not in prediction,Camponotus fastigatus,Functional Groups,Dominant arboreal ants associated with carbohydrate-rich resources,,,0.39,severe,species not extracted at all
species not in prediction,Carebara urichi,Functional Groups,Small-sized hypogaeic generalist foragers,,,0.35,severe,species not extracted at all
"species present, trait missing",Pheidole sp.4,Functional Groups,Generalized Myrmicines,,,,moderate,the trait was not extracted for this species
species not in prediction,Solenopsis sp.2,Functional Groups,Small-sized hypogaeic generalist foragers,,,0.50,severe,species not extracted at all
species not in prediction,Pheidole (grupo flavens) sp.21,Functional Groups,Small-sized hypogaeic generalist foragers,,Pheidole sp.4,0.59,severe,species not extracted at all
species not in prediction,Strumigenys elongata,Functional Groups,Dacetini predators with kinetic mandibles,,,0.40,severe,species not extracted at all
species not in prediction,Strumigenys denticulata,Functional Groups,Dacetini predators with kinetic mandibles,,,0.30,severe,species not extracted at all
species not in prediction,Brachymyrmex heeri,Functional Groups,Small-sized epigaeic generalist foragers,,,0.55,severe,species not extracted at all
species not in prediction,Crematogaster limata,Functional Groups,Dominant arboreal ants associated with carbohydrate-rich resources,,,0.34,severe,species not extracted at all
species not in prediction,Strumigenys carinithorax,Functional Groups,Dacetini predators with kinetic mandibles,,,0.43,severe,species not extracted at all
species not in prediction,Octostruma sp.1,Functional Groups,Dacetini predators with static pressure mandibles,,,0.54,severe,species not extracted at all
species not in prediction,Solenopsis sp.1,Functional Groups,Small-sized hypogaeic generalist foragers,,,0.50,severe,species not extracted at all
species not in prediction,Hypoponera sp.6,Functional Groups,Small-sized hypogaeic generalist foragers,,,0.50,severe,species not extracted at all
species not in prediction,Crematogaster victima,Functional Groups,Dominant arboreal ants associated with carbohydrate-rich resources,,,0.36,severe,species not extracted at all
"species+trait present, value differs",Linepithema neotropicum,Functional Groups,"Generalized Formicines, Dolichoderines, and some Myrmicines",GDM,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Azteca sp.2,Functional Groups,Dominant arboreal ants associated with carbohydrate-rich resources,DCR,,,moderate,predicted a different value for this trait
species not in prediction,Pheidole radoszkowskii,Functional Groups,Generalized Myrmicines,,Pheidole sp.4,0.57,severe,species not extracted at all
species not in prediction,Pheidole obscurithorax,Functional Groups,Generalized Myrmicines,,,0.51,severe,species not extracted at all
species not in prediction,Camponotus atriceps,Functional Groups,Dominant arboreal ants associated with carbohydrate-rich resources,,,0.43,severe,species not extracted at all
species not in prediction,Odontomachus meinerti,Functional Groups,Large-sized epigaeic generalist predators,,,0.39,severe,species not extracted at all
species not in prediction,Hypoponera foreli,Functional Groups,Small-sized hypogaeic generalist foragers,,,0.38,severe,species not extracted at all
species not in prediction,Camponotus rectangularis,Functional Groups,Dominant arboreal ants associated with carbohydrate-rich resources,,,0.38,severe,species not extracted at all
species not in prediction,Pseudomyrmex tenuis,Functional Groups,Large-sized epigaeic generalist predators,,Dorymyrmex sp.1,0.59,severe,species not extracted at all
"species+trait present, value differs",Tapinoma sp.1,Functional Groups,Small-sized epigaeic generalist foragers,SEGF,,,moderate,predicted a different value for this trait
species not in prediction,Pseudomyrmex simplex,Functional Groups,Arboreal predadors,,Dorymyrmex sp.1,0.63,severe,species not extracted at all
species not in prediction,Mycetomoellerius sp.3,Functional Groups,"Leaf cutters, fungus growers",,,0.47,severe,species not extracted at all
species not in prediction,Hypoponera sp.1,Functional Groups,Small-sized hypogaeic generalist foragers,,,0.54,severe,species not extracted at all
species not in prediction,Pheidole (grupo fallax) sp.6,Functional Groups,Generalized Myrmicines,,Pheidole sp.4,0.62,severe,species not extracted at all
species not in prediction,Crematogaster curvispinosa,Functional Groups,Dominant arboreal ants associated with carbohydrate-rich resources,,,0.37,severe,species not extracted at all
species not in prediction,Ectatomma tuberculatum,Functional Groups,Arboreal predadors,,,0.44,severe,species not extracted at all
