basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
,Nilomantis floweri,Width,,2.3,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Length,,5.0,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Incubation duration,,45,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,n eggs,,3,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,n hatched nymphs,,3,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Width,,3.0,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Length,,9.0,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Incubation duration,,42,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,n eggs,,8,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,n hatched nymphs,,6,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Width,,2.5,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Length,,7.0,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Incubation duration,,42,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,n eggs,,4,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,n hatched nymphs,,4,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Width,,2.2,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Length,,5.5,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Incubation duration,,45,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,n eggs,,3,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,n hatched nymphs,,1,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Width,,2.5,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Length,,6.6,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Incubation duration,,43.5,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,n eggs,,4.5,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,n hatched nymphs,,3.5,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Width,,0.4,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Length,,1.8,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,Incubation duration,,1.7,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,n eggs,,2.4,,mode,,both,adult,,,,,,,,,,,
,Nilomantis floweri,n hatched nymphs,,2.1,,mode,,both,adult,,,,,,,,,,,
