cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Nilomantis floweri,Ootheca SD n hatched nymphs,2.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nilomantis floweri,Ootheca SD length,1.8,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nilomantis floweri,Ootheca SD width,0.4,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nilomantis floweri,Country,Chad,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nilomantis floweri,Country,Eritrea,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nilomantis floweri,Country,Iran,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nilomantis floweri,Country,Niger,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nilomantis floweri,Country,Oman,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nilomantis floweri,Country,Qatar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nilomantis floweri,Country,Saudi Arabia,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nilomantis floweri,Country,Sudan,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nilomantis floweri,Country,United Arab Emirates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nilomantis floweri,Country,Yemen,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nilomantis floweri,Ootheca SD incubation duration,2.7,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nilomantis floweri,Ootheca SD n eggs,2.4,,,,moderate,the trait was not extracted for this species
