cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Bembidion sp.1,size,2.02,2.2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cyclotrachelus seximpressus,size,5.16,16.5,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Calathus opaculus,size,3.09,9.3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cicindela punctulata,size,5.12,12.5,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Harpalus herbivagus/ somnulentus,size,7.09,9.7,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Anisodactylus ovularis,size,3.11,11.3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Anisodactylus harrisii,size,8.11,11.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Poecilus chalcites,size,8.11,11.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Harpalus rubripes,size,4.1,10.4,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Agonum muelleri,size,4.08,8.4,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Selenophorus ellipticus/granarius,size,9.05,5.9,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Diplocheila obtusa,size,7.1,10.7,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Notiobia terminata,size,7.09,9.7,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ophonus puncticeps,size,8.07,7.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pterostichus commutabilis,size,8.07,7.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Amara rubrica/musculis,size,6.05,5.6,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dicheirotrichus cognatus,size,4.04,4.4,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Galerita janus,size,5.19,19.5,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Harpalus pensylvanicus,size,7.12,12.7,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bembidinii sp. 1,size,5.02,2.5,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pterostichus melanarius,size,5.15,15.5,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Chlaenius platyderus,size,7.14,14.7,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Amara turbata,size,2.09,9.2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Amara angustata/angustatoides,size,6.06,6.6,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Calathus gregarius,size,3.09,9.3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cyclotrachelus sodalis,size,3.16,16.3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Notiophilus semistriatus,size,1.05,5.1,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Pterostichus stygicus,size,3.15,15.3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Amara familiaris,size,4.06,6.4,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Chlaenius tomentosus,size,3.15,15.3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Poecilus lucublandus,size,5.11,11.5,,,moderate,predicted a different value for this trait
