basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Agonum muelleri,wingtype,,macropterous,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum muelleri,season,Pitfall trapping and controlled field assays,all,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Agonum muelleri,diet,,carnivore,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Agonum muelleri,activity,,diurnal,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Agonum muelleri,size,Midpoint of body length range listed in literature,8.4,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Agonum muelleri,± 1 s.d.,,0.02 ± 0.07,activity density per 100 trapdays,mean,,both,adult,,,,,,,,,,,
HumanObservation,Agonum muelleri,Range,,0–0.31,count,mean,,both,adult,,,,,,,,,,,
LivingSpecimen,Agonum muelleri,Bison,,species was absent in non-bison sites,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Agonum muelleri,Fire,Application of prescribed burning to research sites during the study period (March–April 2018).,species was absent in non-fire sites,,mode,,both,adult,,,,,,,,,,,
Occurrence,Agonum muelleri,Age,Number of growing seasons since the site was restored or planted,-0.29,years,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara angustata/angustatoides,wingtype,,macropterous,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara angustata/angustatoides,season,Pitfall trapping and controlled field assays,spring,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara angustata/angustatoides,diet,,herbivore,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara angustata/angustatoides,activity,,diurnal,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara angustata/angustatoides,size,Midpoint of body length range listed in literature,6.6,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara angustata/angustatoides,± 1 s.d.,,0.02 ± 0.07,activity density per 100 trapdays,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara angustata/angustatoides,Range,,0–0.29,count,mean,,both,adult,,,,,,,,,,,
LivingSpecimen,Amara angustata/angustatoides,Bison,,species were absent in sites with bison,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amara angustata/angustatoides,Fire,Application of prescribed burning to research sites during the study period (March–April 2018).,species were absent in sites with fire,,mode,,both,adult,,,,,,,,,,,
Occurrence,Amara angustata/angustatoides,Age,Number of growing seasons since the site was restored or planted,-0.14,years,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara crassispina,wingtype,,macropterous,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara crassispina,season,Pitfall trapping and controlled field assays,all,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara crassispina,diet,,unknown,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara crassispina,activity,,unknown,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara crassispina,size,Midpoint of body length range listed in literature,8,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara crassispina,± 1 s.d.,,0.07 ± 0.22,activity density per 100 trapdays,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara crassispina,Range,,0–0.9,count,mean,,both,adult,,,,,,,,,,,
LivingSpecimen,Amara crassispina,Bison,,percent change in activity density relative to sites without bison,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amara crassispina,Fire,Application of prescribed burning to research sites during the study period (March–April 2018).,species was absent in non-fire sites,,mode,,both,adult,,,,,,,,,,,
Occurrence,Amara crassispina,Age,Number of growing seasons since the site was restored or planted,-0.14,years,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara familiaris,wingtype,,macropterous,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara familiaris,season,Pitfall trapping and controlled field assays,all,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara familiaris,diet,,omnivore,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara familiaris,activity,,diurnal,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara familiaris,size,Midpoint of body length range listed in literature,6.4,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara familiaris,± 1 s.d.,,0.02 ± 0.07,activity density per 100 trapdays,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara familiaris,Range,,0–0.3,count,mean,,both,adult,,,,,,,,,,,
LivingSpecimen,Amara familiaris,Bison,,species were absent in sites with bison,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amara familiaris,Fire,Application of prescribed burning to research sites during the study period (March–April 2018).,species was absent in non-fire sites,,mode,,both,adult,,,,,,,,,,,
Occurrence,Amara familiaris,Age,Number of growing seasons since the site was restored or planted,-0.11,years,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara obesa,wingtype,,dimorphic,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara obesa,season,Pitfall trapping and controlled field assays,fall,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara obesa,diet,,carnivore,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara obesa,activity,,nocturnal,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara obesa,size,Midpoint of body length range listed in literature,11,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara obesa,± 1 s.d.,,0.02 ± 0.07,activity density per 100 trapdays,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara obesa,Range,,0–0.29,count,mean,,both,adult,,,,,,,,,,,
LivingSpecimen,Amara obesa,Bison,,species was absent in non-bison sites,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Amara obesa,Fire,Application of prescribed burning to research sites during the study period (March–April 2018).,species were absent in sites with fire,,mode,,both,adult,,,,,,,,,,,
Occurrence,Amara obesa,Age,Number of growing seasons since the site was restored or planted,-0.22,years,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara rubrica/musculis,wingtype,,macropterous,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara rubrica/musculis,season,Pitfall trapping and controlled field assays,fall,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara rubrica/musculis,diet,,herbivore,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara rubrica/musculis,activity,,diurnal,mm,mean,,both,adult,,,,,,,,,,,
PreservedSpecimen,Amara rubrica/musculis,size,Midpoint of body length range listed in literature,5.6,mm,mean,,both,adult,,,,,,,,,,,
HumanObservation,Amara rubrica/musculis,± 1 s.d.,,0.47 ± 0.58,activity density per 100 trapdays,mean,,both,adult,,,,,,,,,,,
