basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,"Colletes americanus Cresson, 1868",Native or exotic,,N,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Colletes americanus Cresson, 1868",Pollen specificity,Functional trait database compilation based on primary literature and researcher expertise,P,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Colletes simulans Cresson, 1868",Native or exotic,,N,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Colletes simulans Cresson, 1868",Pollen specificity,Functional trait database compilation based on primary literature and researcher expertise,O,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus basalis,Native or exotic,,N,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hylaeus basalis,Pollen specificity,Functional trait database compilation based on primary literature and researcher expertise,P,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus annulatus,Native or exotic,,N,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hylaeus annulatus,Pollen specificity,Functional trait database compilation based on primary literature and researcher expertise,P,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Hylaeus communis Nylander, 1852",Native or exotic,,E,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Hylaeus communis Nylander, 1852",Pollen specificity,Functional trait database compilation based on primary literature and researcher expertise,P,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus leptocephalus,Native or exotic,,E,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hylaeus leptocephalus,Pollen specificity,Functional trait database compilation based on primary literature and researcher expertise,P,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus mesillae,Native or exotic,,N,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hylaeus mesillae,Pollen specificity,Functional trait database compilation based on primary literature and researcher expertise,P,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus affinis,Native or exotic,,N,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hylaeus affinis,Pollen specificity,Functional trait database compilation based on primary literature and researcher expertise,P,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Hylaeus modestus Say, 1837",Native or exotic,,N,,mode,,both,adult,,,,,,,,,,,
HumanObservation,"Hylaeus modestus Say, 1837",Pollen specificity,Functional trait database compilation based on primary literature and researcher expertise,P,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus nelumbonis,Native or exotic,,N,,mode,,both,adult,,,,,,,,,,,
HumanObservation,Hylaeus nelumbonis,Pollen specificity,Functional trait database compilation based on primary literature and researcher expertise,O,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,"Hylaeus hyalinatus Smith, 1842",Native or exotic,,E,,mode,,both,adult,,,,,,,,,,,
