cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",A.MORISONELLA,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",L.ZEPHYRUM,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.VICINA,Seasonal Activity,Spring,,,,moderate,the trait was not extracted for this species
"species present, trait missing",S.CLEMATIDIS,Sociality,Cleptoparasite,,,,moderate,the trait was not extracted for this species
"species present, trait missing",M.TEXANA,Seasonal Activity,summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",L.MICHIGANENSIS,Seasonal Activity,Spring,,,,moderate,the trait was not extracted for this species
"species present, trait missing",L.TEGULAREA,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",P.PRUINOSA,Seasonal Activity,summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",H.MESILLAE,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",C.CALCARATA,Pollen Transportation,legsonly,Legs only,,,moderate,predicted a different value for this trait
"species present, trait missing",M.ROTUNDATA,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",H.PRODUCTA,Seasonal Activity,summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",M.MENDICA,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.CRESSONII,Seasonal Activity,Spring,,,,moderate,the trait was not extracted for this species
"species present, trait missing",L.SMILACINAE,Seasonal Activity,Spring,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",O.SIMILLIMA,Pollen Transportation,underside:abdomen,Underside,,,moderate,predicted a different value for this trait
"species present, trait missing",S.DICHROUS,Sociality,Cleptoparasite,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.INTEGRA,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",A.FLORENTINUM,Pollen Transportation,underside:abdomen,Underside,,,moderate,predicted a different value for this trait
"species present, trait missing",E.SCUTELARIS,Seasonal Activity,summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.WILKELLA,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",P.ANDRENOIDES,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",L.NIGROVIRIDE,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.RUGOSA,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.MILWAUKIENSIS,Seasonal Activity,Spring,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.CHROMOTRICHA,Seasonal Activity,summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",L.PLANATUM,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.CEANOTHI,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.WSCRIPTA,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.VIRESCENS,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",B.TERNARIUS,Sociality,Highlyeusocial,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.REGULARIS,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",L.ATHABACENSE,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",M.GEMULA,Seasonal Activity,summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",C.CAMPANULARUM,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",M.INERMIS,Seasonal Activity,summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",L.HITCHENSI,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",C.PHILADELPHI,Pollen Transportation,underside:abdomen,Underside,,,moderate,predicted a different value for this trait
"species present, trait missing",L.IMITATUM,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",O.LIGNARIA,Pollen Transportation,underside:abdomen,Underside,,,moderate,predicted a different value for this trait
"species present, trait missing",A.CLARKELLA,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",O.ALBIVENTRIS,Pollen Transportation,underside:abdomen,Underside,,,moderate,predicted a different value for this trait
"species present, trait missing",N.DENTICULATA,Sociality,Cleptoparasite,,,,moderate,the trait was not extracted for this species
"species present, trait missing",M.LATIMANUS,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",M.MELANOPHEA,Pollen Transportation,underside:abdomen,Underside,,,moderate,predicted a different value for this trait
"species+trait present, value differs",M.LAPPONICA,Pollen Transportation,underside:abdomen,Underside,,,moderate,predicted a different value for this trait
"species present, trait missing",A.ASTERIS,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",B.VAGANS,Sociality,Highlyeusocial,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.MISERABILIS,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",L.LAEVISSIMUM,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",S.MANDIBULARIS,Sociality,Cleptoparasite,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.ZIZIEA,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.ALGIDA,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",M.FRIGIDA,Pollen Transportation,underside:abdomen,Underside,,,moderate,predicted a different value for this trait
"species present, trait missing",L.OENOTHERAE,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",C.AMERICANA,Seasonal Activity,summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.TEXANA,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",L.LEUCOZONIUM,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",O.PUMILA,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",S.SOLONIS,Sociality,Cleptoparasite,,,,moderate,the trait was not extracted for this species
"species present, trait missing",O.CAERULESCENS,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",L.ABANCI,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",C.MIKMAQUI,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",P.PARVUS,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.PERSIMULATA,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.BISALICIS,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",L.TENAX,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.FLORENTINUM,Sociality,Solitary,,,,moderate,the trait was not extracted for this species
"species present, trait missing",B.FERVIDUS,Seasonal Activity,year,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",C.RAPUNCULI,Pollen Transportation,underside:abdomen,Underside,,,moderate,predicted a different value for this trait
"species present, trait missing",A.NIVALIS,Seasonal Activity,Spring,,,,moderate,the trait was not extracted for this species
"species present, trait missing",H.COMMUNIS,Seasonal Activity,summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",H.PILOSIFRONS,Seasonal Activity,summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",A.IMITATRIX,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",H.LEAVITTI,Pollen Transportation,underside:abdomen,Underside,,,moderate,predicted a different value for this trait
"species present, trait missing",A.TERMINALIS,Seasonal Activity,summer,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",M.PUGNATA,Pollen Transportation,underside:abdomen,Underside,,,moderate,predicted a different value for this trait
"species present, trait missing",H.SPOLIATA,Seasonal Activity,summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",N.PARVA,Sociality,Cleptoparasite,,,,moderate,the trait was not extracted for this species
"species present, trait missing",M.NUDA,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
"species present, trait missing",L.LEUCOCOMUM,Seasonal Activity,Spring:summer,,,,moderate,the trait was not extracted for this species
