basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
HumanObservation,Altitude,Functional Guild,"Classification based on food allocation strategies for reproduction (rollers, tunnelers, dwellers)",Altitude (m a.s.l.),,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Biomass,,Altitude (m a.s.l.),g,mean,,both,adult,,1400,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,800,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,1400,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,1400,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,1300,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,1300,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,1300,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,1200,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,1200,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,1200,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,1100,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,1100,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,1100,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,1000,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,1000,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,1000,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,900,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,900,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,900,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,800,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,800,count,single observation,,both,adult,,,,,,,,,,,
PreservedSpecimen,Altitude,Number of Individuals,,800,count,single observation,,both,adult,,,,,,,,,,,
HumanObservation,Transects,Functional Guild,"Classification based on food allocation strategies for reproduction (rollers, tunnelers, dwellers)",Transects,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Transects,Biomass,,Transects,g,mean,,both,adult,,I,,,,,,,,,
