cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Canthidium sp 6,Functional Guild,Paracoprid,Tunnelers that dig tunnels directly beneath the food source where they will store their dung balls,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Canthidium sp 4,Biomass,8.02,8.2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Canthidium sp 2,Biomass,8.03,8.3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Homocopris sp 3,Biomass,69,26.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Trichillum sp 2,Functional Guild,Endocoprid,Dwellers that live and reproduce inside the food source,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Canthidium sp 4,Functional Guild,Paracoprid,Tunnelers that dig tunnels directly beneath the food source where they will store their dung balls,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Canthidium sp 2,Functional Guild,Paracoprid,Tunnelers that dig tunnels directly beneath the food source where they will store their dung balls,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ontherus appendiculatus,Functional Guild,Paracoprid,Tunnelers that dig tunnels directly beneath the food source where they will store their dung balls,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Dichotomius crinicollis,Functional Guild,Paracoprid,Tunnelers that dig tunnels directly beneath the food source where they will store their dung balls,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Phanaeus palaeno,Functional Guild,Paracoprid,Tunnelers that dig tunnels directly beneath the food source where they will store their dung balls,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ontherus (Caelontherus) sp,Biomass,26,39.6,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Coprophanaeus milon magnoi,Functional Guild,Paracoprid,Tunnelers that dig tunnels directly beneath the food source where they will store their dung balls,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Canthidium sp 3,Biomass,11.02,11.2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Uroxys sp 3,Biomass,1.05,1.5,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Canthidium aff barbacenicum,Biomass,8.06,8.6,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Canthidium sp 8,Biomass,7.09,7.9,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Genieridium bidens,Biomass,6.06,6.0,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Onthophagus aff buculus,Biomass,11.01,9.7,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ontherus (Caelontherus) sp,Functional Guild,Paracoprid,Tunnelers that dig tunnels directly beneath the food source where they will store their dung balls,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Agamopus unguicularis,Biomass,3.08,3.8,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Canthidium sp 3,Functional Guild,Paracoprid,Tunnelers that dig tunnels directly beneath the food source where they will store their dung balls,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Anomiopus virescens,Functional Guild,Paracoprid,Tunnelers that dig tunnels directly beneath the food source where they will store their dung balls,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Genieridium cryptops,Biomass,6,79.2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Canthidium sp 8,Functional Guild,Paracoprid,Tunnelers that dig tunnels directly beneath the food source where they will store their dung balls,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Uroxys sp 1,Biomass,1.01,1.1,,,moderate,predicted a different value for this trait
