basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
PreservedSpecimen,Bombus bimaculatus,Nesting biology,Analysis of collected specimens (pan traps and sweep netting) to classify nesting biology as ground or stem.,Ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus bimaculatus,Behavior,,Social,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus bimaculatus,Un grazed landscapes,,x,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus bimaculatus,Low management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus bimaculatus,Moderate management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus bimaculatus,High management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus griseocolis,Nesting biology,Analysis of collected specimens (pan traps and sweep netting) to classify nesting biology as ground or stem.,Ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus griseocolis,Behavior,,Social,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus griseocolis,Un grazed landscapes,,x,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus griseocolis,Low management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus griseocolis,Moderate management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus griseocolis,High management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus impatiens,Nesting biology,Analysis of collected specimens (pan traps and sweep netting) to classify nesting biology as ground or stem.,Ground,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus impatiens,Behavior,,Social,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus impatiens,Un grazed landscapes,,x,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus impatiens,Low management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus impatiens,Moderate management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Bombus impatiens,High management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ceratina mikmaqi,Nesting biology,Analysis of collected specimens (pan traps and sweep netting) to classify nesting biology as ground or stem.,Stem,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ceratina mikmaqi,Behavior,,Solitary,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ceratina mikmaqi,Un grazed landscapes,,x,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ceratina mikmaqi,Low management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ceratina mikmaqi,Moderate management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Ceratina mikmaqi,High management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus affinis,Nesting biology,Analysis of collected specimens (pan traps and sweep netting) to classify nesting biology as ground or stem.,Stem,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus affinis,Behavior,,Solitary,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus affinis,Un grazed landscapes,,x,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus affinis,Low management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus affinis,Moderate management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus affinis,High management intensity,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus modestus,Nesting biology,Analysis of collected specimens (pan traps and sweep netting) to classify nesting biology as ground or stem.,Stem,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus modestus,Behavior,,Solitary,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus modestus,Un grazed landscapes,,,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus modestus,Low management intensity,,x,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Hylaeus modestus,Moderate management intensity,,x,,mode,,both,adult,,,,,,,,,,,
