cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species+trait present, value differs",Hylaeus modestus,Management intensity,Low management intensity; Moderate management intensity,x,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ceratina mikmaqi,Management intensity,Un-grazed landscapes,,,,moderate,no value was predicted for this trait
"species+trait present, value differs",Hylaeus affinis,Management intensity,Un-grazed landscapes,,,,moderate,no value was predicted for this trait
"species+trait present, value differs",Lasioglossum lineatulum,Management intensity,Moderate management intensity,,,,moderate,no value was predicted for this trait
"species+trait present, value differs",Halictus rubicundus,Management intensity,Un-grazed landscapes,,,,moderate,no value was predicted for this trait
"species+trait present, value differs",Bombus griseocolis,Management intensity,Un-grazed landscapes,,,,moderate,no value was predicted for this trait
"species+trait present, value differs",Bombus bimaculatus,Management intensity,Un-grazed landscapes,,,,moderate,no value was predicted for this trait
"species+trait present, value differs",Lasioglossum leucozonium,Management intensity,Un-grazed landscapes,,,,moderate,no value was predicted for this trait
"species+trait present, value differs",Lasioglossum versatum,Management intensity,Low management intensity; High management intensity ,x,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Bombus impatiens,Management intensity,Un-grazed landscapes,,,,moderate,no value was predicted for this trait
"species+trait present, value differs",Lasioglossum hitchensi,Management intensity,Un-grazed landscapes,,,,moderate,no value was predicted for this trait
