basisOfRecord,verbatimIdentification,measurementType,measurementMethod,measurementValue ,measurementUnit,measurementStatistic,measurementRemarks,sex,lifeStage,caste,sampleSizeValue,sampleSizeUnit,sampleTreatment,samplingProtocol,verbatimLocality ,verbatimCoordinates,verbatimEventDate,associatedOccurrences,associatedReferences ,externalLink
,Dinoponera quadriceps,CL,,40.4,,mode,,both,adult,,,,,,,,,,,
,Dinoponera quadriceps,LEG,,36.8,,mode,,both,adult,,,,,,,,,,,
,Dinoponera quadriceps,EL,,37.2,,mode,,both,adult,,,,,,,,,,,
,Dinoponera quadriceps,EL,,38.4,,mode,,both,adult,,,,,,,,,,,
PreservedSpecimen,Dinoponera quadriceps,Traits CL,Ratio of clypeus length to mesosoma length,0.0000,,mean,,both,adult,,,,,,P0,,,,,
PreservedSpecimen,Dinoponera quadriceps,Traits CL,Ratio of clypeus length to mesosoma length,0.0000,,mean,,both,adult,,,,,,P0,,,,,
PreservedSpecimen,Dinoponera quadriceps,Traits ML,,0.0000,ratio,mean and variance,,both,adult,,,,,,P0,,,,,
PreservedSpecimen,Dinoponera quadriceps,Traits ML,,0.0000,ratio,mean and variance,,both,adult,,,,,,P0,,,,,
PreservedSpecimen,Dinoponera quadriceps,Traits WL,Measurement of Weber's length (mesosoma length) on the ant worker,0.0083,mm,mean ± SE,,both,adult,,,,,,P0,,,,,
PreservedSpecimen,Dinoponera quadriceps,Traits WL,Measurement of Weber's length (mesosoma length) on the ant worker,0.0083,mm,mean ± SE,,both,adult,,,,,,P0,,,,,
PreservedSpecimen,Dinoponera quadriceps,Traits IOW,Ratio of inter-ocular width to mesosoma length (standardized by dividing inter-ocular width by Weber's length),0.0001,,mean,,both,adult,,,,,,P0,,,,,
PreservedSpecimen,Dinoponera quadriceps,Traits IOW,Ratio of inter-ocular width to mesosoma length (standardized by dividing inter-ocular width by Weber's length),0.0001,,mean,,both,adult,,,,,,P0,,,,,
PreservedSpecimen,Dinoponera quadriceps,Traits EL,,0.0000,mm,mean,,both,adult,,,,,,P0,,,,,
PreservedSpecimen,Dinoponera quadriceps,Traits EL,,0.0000,mm,mean,,both,adult,,,,,,P0,,,,,
PreservedSpecimen,Dinoponera quadriceps,Traits P,,,ratio,mean ± SD,,both,adult,,,,,,P0,,,,,
PreservedSpecimen,Dinoponera quadriceps,Traits P,,,ratio,mean ± SD,,both,adult,,,,,,P0,,,,,
PreservedSpecimen,Dinoponera quadriceps,Traits LEG,Ratio of leg length (combined length of femur and tibia) to mesosoma length (Weber's length),0.0010,,mean,,both,adult,,,,,,P0,,,,,
